,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name
81,14.78675,ml,Dry vermouth,Wine,8,14,Mount Pelée
82,2,ds,Orange bitters,General,0,14,Mount Pelée
83,1,ds,"Bitters, Angostura",General,0,14,Mount Pelée
84,1,twst,Orange peel,Garnish,11,14,Mount Pelée
85,29.5735,ml,"Light rum, Plantation 3 Star",Rum,2,15,Mr. Manager
86,29.5735,ml,"Mezcal, Del Maguey Vida",Mezcal,20,15,Mr. Manager
87,22.180125,ml,Falernum,Liqueur,10,15,Mr. Manager
88,14.78675,ml,Lime juice,General,0,15,Mr. Manager
89,7.393375,ml,"Allspice Dram, St. Elizabeth",Liqueur,10,15,Mr. Manager
90,1,twst,Lime peel,General,0,15,Mr. Manager
91,44.36025,ml,Demerara Rum,Rum,2,16,Mr. Swizzle
92,22.180125,ml,"Coffee liqueur, Mr. Black",Liqueur,10,16,Mr. Swizzle
93,14.78675,ml,"Falernum, Velvet Falernum",Liqueur,10,16,Mr. Swizzle
94,14.78675,ml,Honey syrup (2:1),General,0,16,Mr. Swizzle
95,22.180125,ml,Lemon juice,General,0,16,Mr. Swizzle
96,2,ds,Orange bitters,General,0,16,Mr. Swizzle
97,1,sli,Lemon,Garnish,11,16,Mr. Swizzle
98,44.36025,ml,"Gin, Beefeater",Gin,1,17,The Music Orange
99,44.36025,ml,Orange juice,General,0,17,The Music Orange
100,29.5735,ml,Lemon juice,General,0,17,The Music Orange
101,14.78675,ml,"Falernum, Velvet Falernum (John D. Taylor's)",Liqueur,10,17,The Music Orange
102,7.393375,ml,Egg white,General,0,17,The Music Orange
103,3,ds,"Bitters, Angostura",General,0,17,The Music Orange
104,44.36025,ml,"Bourbon, Bulleit",Whisky,4,18,Mustache Ride
105,14.78675,ml,Cynar,Liqueur,10,18,Mustache Ride
106,22.180125,ml,Lemon juice,General,0,18,Mustache Ride
107,14.78675,ml,Grade B maple syrup,General,0,18,Mustache Ride
108,14.78675,ml,"Allspice Dram, St. Elizabeth",Liqueur,10,18,Mustache Ride
109,1,twst,Lemon peel,Garnish,11,18,Mustache Ride
110,1,,Cherry,Garnish,11,18,Mustache Ride
111,29.5735,ml,Blanco Tequila,Tequila,6,19,Nacho Sour
112,29.5735,ml,Licor 43,Liqueur,10,19,Nacho Sour
113,14.78675,ml,Lime juice,General,0,19,Nacho Sour
114,14.78675,ml,Lemon juice,General,0,19,Nacho Sour
115,14.78675,ml,Egg white (whisked),General,0,19,Nacho Sour
116,1,rinse,"Mezcal, Del Maguey Vida",Mezcal,20,19,Nacho Sour
117,1,t,Rich simple syrup 2:1,General,0,19,Nacho Sour
118,1,dr,Bitters,General,0,19,Nacho Sour
119,1,twst,Lime peel,General,0,19,Nacho Sour
120,59.147,ml,"Gin, Tanqueray Rangpur",Gin,1,20,Nandakhal
121,14.78675,ml,Lime juice,General,0,20,Nandakhal
