,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name,url
45,10,ml,Sugar syrup (rich),General,0,3005,Improved Trashy Margarita,https://www.diffordsguide.com/cocktails/recipe/16858/improved-trashy-margarita
46,10,ml,Lime juice,General,0,3005,Improved Trashy Margarita,https://www.diffordsguide.com/cocktails/recipe/16858/improved-trashy-margarita
47,5,ml,Lemon juice,General,0,3005,Improved Trashy Margarita,https://www.diffordsguide.com/cocktails/recipe/16858/improved-trashy-margarita
48,5,ml,Pasteurised egg white (or aquafaba),General,0,3005,Improved Trashy Margarita,https://www.diffordsguide.com/cocktails/recipe/16858/improved-trashy-margarita
49,5,ml,Water (chilled),General,0,3005,Improved Trashy Margarita,https://www.diffordsguide.com/cocktails/recipe/16858/improved-trashy-margarita
50,4,drop,Difford's Margarita Bitters,General,0,3005,Improved Trashy Margarita,https://www.diffordsguide.com/cocktails/recipe/16858/improved-trashy-margarita
51,,,Orange juice,Garnish,11,3005,Improved Trashy Margarita,https://www.diffordsguide.com/cocktails/recipe/16858/improved-trashy-margarita
52,,,salt rim,Garnish,11,3005,Improved Trashy Margarita,https://www.diffordsguide.com/cocktails/recipe/16858/improved-trashy-margarita
53,,,lime wedge,Garnish,11,3005,Improved Trashy Margarita,https://www.diffordsguide.com/cocktails/recipe/16858/improved-trashy-margarita
54,60,ml,Light white rum,Rum,2,3006,Daiquiri No.2,https://www.diffordsguide.com/cocktails/recipe/2154/daiquiri-no2
55,5,ml,De Kuyper Triple Sec (40%),Liqueur,10,3006,Daiquiri No.2,https://www.diffordsguide.com/cocktails/recipe/2154/daiquiri-no2
56,15,ml,Orange juice (freshly squeezed),General,0,3006,Daiquiri No.2,https://www.diffordsguide.com/cocktails/recipe/2154/daiquiri-no2
57,15,ml,Lime juice,General,0,3006,Daiquiri No.2,https://www.diffordsguide.com/cocktails/recipe/2154/daiquiri-no2
58,7.5,ml,Sugar syrup (rich),General,0,3006,Daiquiri No.2,https://www.diffordsguide.com/cocktails/recipe/2154/daiquiri-no2
59,,,Lime wedge,Garnish,11,3006,Daiquiri No.2,https://www.diffordsguide.com/cocktails/recipe/2154/daiquiri-no2
60,45,ml,Gold rum,Rum,2,3007,El Presidente (Sloppy Joe's),https://www.diffordsguide.com/cocktails/recipe/3041/el-presidente-sloppy-joes
61,22.5,ml,Bianco vermouth,Wine,8,3007,El Presidente (Sloppy Joe's),https://www.diffordsguide.com/cocktails/recipe/3041/el-presidente-sloppy-joes
62,7.5,ml,Orange Curaçao liqueur,Liqueur,10,3007,El Presidente (Sloppy Joe's),https://www.diffordsguide.com/cocktails/recipe/3041/el-presidente-sloppy-joes
63,5,ml,Giffard Grenadine syrup,General,0,3007,El Presidente (Sloppy Joe's),https://www.diffordsguide.com/cocktails/recipe/3041/el-presidente-sloppy-joes
64,10,ml,Lime juice,General,0,3007,El Presidente (Sloppy Joe's),https://www.diffordsguide.com/cocktails/recipe/3041/el-presidente-sloppy-joes
65,,,Lime zest twist discarded,Garnish,11,3007,El Presidente (Sloppy Joe's),https://www.diffordsguide.com/cocktails/recipe/3041/el-presidente-sloppy-joes
66,,,Luxardo maraschino cherry,Garnish,11,3007,El Presidente (Sloppy Joe's),https://www.diffordsguide.com/cocktails/recipe/3041/el-presidente-sloppy-joes
67,45,ml,La Fée Parisienne absinthe,Spirits,21,3008,Absinthe Drip Cocktail (French method),https://www.diffordsguide.com/cocktails/recipe/507/absinthe-drip-cocktail-french-method
68,60,ml,Water (chilled),General,0,3008,Absinthe Drip Cocktail (French method),https://www.diffordsguide.com/cocktails/recipe/507/absinthe-drip-cocktail-french-method
69,1,cube,Sugar cube,General,0,3008,Absinthe Drip Cocktail (French method),https://www.diffordsguide.com/cocktails/recipe/507/absinthe-drip-cocktail-french-method
70,30,ml,Rutte Dry Gin,Gin,1,3009,Jewel Cocktail,https://www.diffordsguide.com/cocktails/recipe/2701/jewel-cocktail
71,15,ml,Green Chartreuse liqueur,Liqueur,10,3009,Jewel Cocktail,https://www.diffordsguide.com/cocktails/recipe/2701/jewel-cocktail
72,20,ml,Rosso/rouge (sweet) vermouth,Wine,8,3009,Jewel Cocktail,https://www.diffordsguide.com/cocktails/recipe/2701/jewel-cocktail
73,1,dash,Orange Bitters by Angostura,General,0,3009,Jewel Cocktail,https://www.diffordsguide.com/cocktails/recipe/2701/jewel-cocktail
74,5,ml,Water (chilled),General,0,3009,Jewel Cocktail,https://www.diffordsguide.com/cocktails/recipe/2701/jewel-cocktail
75,,,Skewered Luxardo Maraschino cherry,Garnish,11,3009,Jewel Cocktail,https://www.diffordsguide.com/cocktails/recipe/2701/jewel-cocktail
76,45,ml,Rémy Martin 1738 Cognac,Brandy,5,3010,Betsy Ross,https://www.diffordsguide.com/cocktails/recipe/3245/betsy-ross
77,45,ml,Tawny port,Wine,8,3010,Betsy Ross,https://www.diffordsguide.com/cocktails/recipe/3245/betsy-ross
78,2.5,ml,Orange Curaçao liqueur,Liqueur,10,3010,Betsy Ross,https://www.diffordsguide.com/cocktails/recipe/3245/betsy-ross
79,2,dash,Angostura Aromatic Bitters,General,0,3010,Betsy Ross,https://www.diffordsguide.com/cocktails/recipe/3245/betsy-ross
80,,,Orange zest twist,Garnish,11,3010,Betsy Ross,https://www.diffordsguide.com/cocktails/recipe/3245/betsy-ross
81,30,ml,Del Maguey Vida Clásico mezcal,Mezcal,20,3011,Mezcal Manzanilla Margarita,https://www.diffordsguide.com/cocktails/recipe/16860/mezcal-manzanilla-margarita
82,30,ml,Manzanilla sherry,Wine,8,3011,Mezcal Manzanilla Margarita,https://www.diffordsguide.com/cocktails/recipe/16860/mezcal-manzanilla-margarita
83,22.5,ml,Lime juice,General,0,3011,Mezcal Manzanilla Margarita,https://www.diffordsguide.com/cocktails/recipe/16860/mezcal-manzanilla-margarita
84,15,ml,De Kuyper Triple Sec (40%),Liqueur,10,3011,Mezcal Manzanilla Margarita,https://www.diffordsguide.com/cocktails/recipe/16860/mezcal-manzanilla-margarita
85,7.5,ml,Agave syrup,General,0,3011,Mezcal Manzanilla Margarita,https://www.diffordsguide.com/cocktails/recipe/16860/mezcal-manzanilla-margarita
86,,,Orange juice,Garnish,11,3011,Mezcal Manzanilla Margarita,https://www.diffordsguide.com/cocktails/recipe/16860/mezcal-manzanilla-margarita
87,,,Tajín,Garnish,11,3011,Mezcal Manzanilla Margarita,https://www.diffordsguide.com/cocktails/recipe/16860/mezcal-manzanilla-margarita
88,,,sea salt rim,Garnish,11,3011,Mezcal Manzanilla Margarita,https://www.diffordsguide.com/cocktails/recipe/16860/mezcal-manzanilla-margarita
