"cocktail_id","cocktail_base","cocktail_color1","cocktail_color2","cocktail_content","cocktail_difficulty","cocktail_glass","cocktail_img","cocktail_name_en","cocktail_name_ko","cocktail_rating","cocktail_update_date","cocktail_update_by"
588,"Rum","흰색","남색","풀 서클(Full Circle) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/img_6116.jpg?itok=sfjFVMVX","Full Circle","풀 서클",0.0,"",0
589,"Gin","흰색","흰색","지바인 블러시(G'Vine Blush) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/gvine_blush.jpg?itok=0nDnbsNP","G'Vine Blush","지바인 블러시",0.0,"",0
590,"Brandy","분홍색","흰색","가브리엘러(Gabriella) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/img_5651_1.jpg?itok=LKaFieXY","Gabriella","가브리엘러",0.0,"",0
591,"Rum","흰색","갈색","가분 바이퍼(Gaboon Viper) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/img_20180824_203845_490.jpg?itok=OnV0fHu5","Gaboon Viper","가분 바이퍼",0.0,"",0
592,"Wine","흰색","갈색","갈릴레오(Galileo) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",1.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/galileo2.jpg?itok=bEmQ5hza","Galileo","갈릴레오",0.0,"",0
593,"Whisky","주황색","노란색","갤리밴팅 인 골든 가이(Gallivanting in Golden Gai) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/gallivantinggoldengai.jpg?itok=6a054SIU","Gallivanting in Golden Gai","갤리밴팅 인 골든 가이",0.0,"",0
594,"Liqueur","주황색","흰색","개리발디(Garibaldi) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",4.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/garibaldi-recipe-campari-1536x1024.jpg?itok=KcjOQizO","Garibaldi","개리발디",5.0,"2023-04-06 21:55:37",3
595,"Spirits","갈색","흰색","제네버 컨벤션(Genever Convention) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/genever_convention.jpg?itok=qmc9ML3c","Genever Convention","제네버 컨벤션",0.0,"",0
596,"Mezcal","흰색","흰색","더 지아머트리 어브 섀도즈(The Geometry of Shadows) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/PXL_20230304_020839316.jpg?itok=LpL-LlbF","The Geometry of Shadows","더 지아머트리 어브 섀도즈",0.0,"",0
597,"Brandy","분홍색","남색","조지 워싱턴(George Washington) 은/는 화려한 색상과 풍미로 맛있게 즐길 수 있습니다. 또한, 부드럽고 달큼한 맛이 입 안 가득 퍼져 그 향기가 일품입니다. 누구에게나 사랑받는 칵테일로, 연인, 가족과 함께 하는 시간 또는 혼자만의 여유로운 시간을 이 칵테일과 함께 더욱 특별한 순간으로 만들어보세요!",2.0,"","https://kindredcocktails.com/sites/kindredcocktails.com/files/styles/large/public/pictures/cocktail/img_4339_1.png?itok=vJcs6cKj","George Washington","조지 워싱턴",0.0,"",0
