,ingredient_amount,ingredient_unit,ingredient_name,type_string,type_num,cocktail_id,cocktail_name,ingredient_id,db_cocktail_ingredient_name,db_ingredient_name
2993,22.20,ml,"Dry vermouth, Ransom",Wine,8,532,(Beware the) Pink Slip,714,"dry vermouth, ransom","dry vermouth, ransom"
2994,1⁄4,t,Honey,General,0,532,(Beware the) Pink Slip,966,honey,honey
2995,1,rinse,"Absinthe Rouge, Amerique 1912",Spirits,21,532,(Beware the) Pink Slip,3,"absinthe rouge, amerique 1912","absinthe rouge, amerique 1912"
2996,2,wdg,Lime,General,0,532,(Beware the) Pink Slip,1113,lime,lime
2997,59.10,ml,"Bourbon, Buffalo Trace",Whisky,4,533,Big Chief,324,"bourbon, buffalo trace","bourbon, buffalo trace"
2998,14.80,ml,Averna,Liqueur,10,533,Big Chief,137,averna,averna
2999,14.80,ml,"Sweet vermouth, Carpano Punt e Mes",Wine,8,533,Big Chief,1734,"sweet vermouth, carpano punt e mes","sweet vermouth, carpano punt e mes"
3000,1,twst,Orange peel,Garnish,11,533,Big Chief,1290,orange peel,orange peel
3001,59.10,ml,"Mezcal, Sombra",Mezcal,20,534,The Big City,1209,"mezcal, sombra","mezcal, sombra"
3002,22.20,ml,"Bianco Vermouth, Dolin",Wine,8,534,The Big City,196,"bianco vermouth, dolin","bianco vermouth, dolin"
3003,7.40,ml,Zwack Unicum,Liqueur,10,534,The Big City,1891,zwack unicum,zwack unicum
3004,1,twst,Grapefruit peel,General,0,534,The Big City,914,grapefruit peel,grapefruit peel
3005,29.60,ml,Cognac,Brandy,5,535,Big Spender,572,cognac,cognac
3006,29.60,ml,Pineapple rum,Rum,2,535,Big Spender,1406,pineapple rum,pineapple rum
3007,14.80,ml,Drambuie,Liqueur,10,535,Big Spender,696,drambuie,drambuie
3008,14.80,ml,Fernet Branca,Spirits,21,535,Big Spender,755,fernet branca,fernet branca
3009,1,twst,Orange peel,Garnish,11,535,Big Spender,1290,orange peel,orange peel
3010,44.40,ml,"Gin, Hendrick's",Gin,1,536,Bijou Bohème,842,"gin, hendrick's","gin, hendrick's"
3011,22.20,ml,"Dry vermouth, Ransom",Wine,8,536,Bijou Bohème,714,"dry vermouth, ransom","dry vermouth, ransom"
3012,14.80,ml,"Herbal liqueur, Green Chartreuse",Liqueur,10,536,Bijou Bohème,957,"herbal liqueur, green chartreuse","herbal liqueur, green chartreuse"
3013,7.40,ml,"Elderflower liqueur, St. Germain",Liqueur,10,536,Bijou Bohème,738,"elderflower liqueur, st. germain","elderflower liqueur, st. germain"
3014,5,dr,"Orange bitters, Bittercube",General,0,536,Bijou Bohème,1264,"orange bitters, bittercube",orange bitters
3015,1,?,Brandied cherry,General,0,536,Bijou Bohème,449,brandied cherry,cherry
3016,44.40,ml,Gin,Gin,1,537,Birds & Bees,802,gin,gin
3017,14.80,ml,Sweet vermouth,Wine,8,537,Birds & Bees,1729,sweet vermouth,sweet vermouth
3018,14.80,ml,Honey syrup (1:1),General,0,537,Birds & Bees,970,honey syrup (1:1),honey syrup
3019,14.80,ml,Lemon juice,General,0,537,Birds & Bees,1085,lemon juice,lemon juice
3020,7.40,ml,Fernet Branca,Spirits,21,537,Birds & Bees,755,fernet branca,fernet branca
3021,44.40,ml,Bison Grass Vodka,Vodka,3,538,Bison Drop,202,bison grass vodka,bison grass vodka
