,ingredient_name,type_string,type_num,cocktail_id,cocktail_name
1744,Hella Bitters Citrus,General,0,1291,Manchester Cocktail
1144,Hellfire Habanero Shrub,General,0,651,Clock Water and Smoke
801,"Hellfire Habanero Shrub, Bittermens",General,0,378,Un Poivron en Vacances (Mr Pepper on Holiday)
2088,Hemp Vodka,Vodka,3,2542,Bloody Mary Jane
1777,Hendrick's Gin,Gin,1,1331,East Side
688,Herbal liqueur (Besamim Liqueur),Liqueur,10,307,Sukkah Hill Spice Box
354,Herbal liqueur (Élixir d'Armorique Warenghem),Liqueur,10,126,Pisse Tafia
1044,"Herbal liqueur, Chartreuse",Liqueur,10,583,Br'er Rabbit
25,"Herbal liqueur, Green Chartreuse",Liqueur,10,4,"Mockingbird, Wish Me Luck"
837,"Herbal liqueur, Jeppson's Malort",Liqueur,10,410,Windy City Lights
532,"Herbal liqueur, Pernod",Liqueur,10,217,Saveur Kiss
370,"Herbal liqueur, Yellow Chartreuse",Liqueur,10,130,Plenaire
280,Hibiscus cordial,Spirits,21,88,Pearl Handle Gun
565,Hibiscus syrup,General,0,232,The Shark Lady
389,Highland Scotch,Whisky,4,139,Powers of Peat
724,Highland Scotch (Edradour 10 year),Whisky,4,328,Tartan Cocktail
736,Honey,General,0,337,There's a Road-Snake On Your Hammie
1712,Honey Bourbon,Whisky,4,1248,Hot Toddy
1404,Honey Liqueur,Liqueur,10,916,Hibernating Bear
1576,Honey Syrup / Mix,General,0,1135,3 Dots and a Dash
2080,Honey Vodka,Vodka,3,2528,Bee's Knees
2077,Honey Whiskey,Whisky,4,2504,American Honey Lemonade
245,Honey syrup,General,0,77,P'al Don
6,Honey syrup (1:1),General,0,1,Missionary's Downfall (Don the Beachcomber)
76,Honey syrup (2:1),General,0,16,Mr. Swizzle
626,Honey syrup (3:1),General,0,269,The Solipsist
272,Honey syrup (Acacia),General,0,85,The Pastry War Cocktail
1248,Honey syrup (Infused with rosemary & sage),General,0,757,Ellen's Folly
1032,Honey syrup (clover),General,0,570,Blueberry Sour
1071,Honey syrup (ginger-infused),General,0,598,Buono Whistler
2081,Honeycomb,Garnish,11,2529,Bees Knees Shot
1373,"Hophead Vodka, Anchor Distilling",Vodka,3,881,Grey Anchor
1684,Horseradish,General,0,1211,Bloody Mary
1763,Hot Chocolate,General,0,1315,Hot Peppermint Patty
1737,Hot Coffee,General,0,1288,Spanish Coffee
654,Hot sauce,General,0,284,Spicy Bacon Martini
1894,Hpnotiq,Liqueur,10,1514,Hpnotiq Caipirinha
1891,Hpnotiq Harmonie,Liqueur,10,1507,Harmonie Mojito
742,Huckleberry jam,General,0,339,The Thunderball
660,Hum,Liqueur,10,287,St. Barths Buck
900,Ice,General,0,452,151 Swizzle
1800,Ice Cone,Garnish,11,1359,Navy Grog
1814,Ice Cream,General,0,1373,Apple Daiquiri
2122,Iced Cake Vodka,Vodka,3,2692,Iced Orange Cake
1533,Iced Coffee,General,0,1094,Marked
1987,Illyquore,Liqueur,10,1822,Frangelico Mudslide
740,India Pale Ale,Beer,7,338,Thom Collins
1608,Irish Cream,General,0,1149,Frozen Mudslide
1953,Irish Cream,Liqueur,10,1695,Baileys Martini
2123,Irish Mist,Liqueur,10,2694,Irish Canadian Sangaree
1664,Irish Whiskey,Whisky,4,1194,Emerald Cocktail
762,Irish whiskey,Whisky,4,351,Tom Crean
61,Irish whiskey (Tullamore DEW),Whisky,4,13,Morning Darling
1091,"Irish whiskey, Bushmill's",Whisky,4,622,The Carrauntouhill
903,"Irish whiskey, Clontarf (rose-infused)",Whisky,4,456,Action Bronson
234,"Irish whiskey, Jameson",Whisky,4,73,Otoño Cocktail
1210,"Irish whiskey, Jameson (Banana Infused)",Whisky,4,709,Darwin's Hopes
945,"Irish whiskey, Mitchell & Son Green Spot",Whisky,4,494,Aul Man
1274,"Islands Scotch, Talisker",Whisky,4,794,Fire and Blood
486,Islay Scotch,Whisky,4,193,Roysty Nail
1228,"Islay Scotch, Ardbeg",Whisky,4,729,The Difference Engine
717,"Islay Scotch, Ardbeg 10",Whisky,4,324,Tainted Love
442,"Islay Scotch, Bowmore (Legend)",Whisky,4,173,Requiem for an Old Friend
1199,"Islay Scotch, Lagavulin 16",Whisky,4,696,d'Essart
609,"Islay Scotch, Laphroaig",Whisky,4,260,Smoked Jack Rabbit
390,"Islay Scotch, Laphroaig 10",Whisky,4,139,Powers of Peat
1772,Islay single-malt Scotch Whisky,Whisky,4,1325,Penicillin
1761,Jagermeister,Whisky,4,1312,Jagerita
1944,Jalapeno,Garnish,11,1676,"Lime, Olive, Jalapeno"
2083,Jalapeno Pepper,General,0,2530,Berry Spice
1943,Jalapeno Pepper,Garnish,11,1676,Absinthe Mary
2121,Jalapeno Vodka,Vodka,3,2689,Hot Bloody Shot
1137,Jalapeño (about 1/2 inch slice),General,0,647,Ciquita Picante
515,"Jamaican #1 bitters, Bittercube",General,0,211,Salvatore Daiquiri
1358,Jamaican #2 bitters,General,0,868,The Gong of Brown Wisdom
1400,"Jamaican #2 bitters, Bittercube",General,0,912,Hephaestus' Three Hour Tour
28,Jamaican rum,Rum,2,5,Moko Jumbie
466,Jamaican rum (Aged or dark),Rum,2,183,Right Handed Planter
902,"Jamaican rum (Aged, preferably Smith & Cross)",Rum,2,453,1790
1068,Jamaican rum (Blackwell),Rum,2,597,Bundt Cake Buddha
1085,Jamaican rum (Funky like Smith & Cross),Rum,2,616,Captains' Mile
385,Jamaican rum (dark),Rum,2,137,Port Royal
1523,"Jamaican rum (dark, 7-15 year old)",Rum,2,1080,Mai Tai (Trader Vic's)
552,"Jamaican rum, Appleton",Rum,2,227,Sensei
489,"Jamaican rum, Appleton (Signature Estate Rum)",Rum,2,195,Rum Balans
1490,"Jamaican rum, Appleton 12",Rum,2,1027,The Last Rasta
395,"Jamaican rum, Appleton Estate V/X",Rum,2,145,Price of Rum
877,"Jamaican rum, Appleton V/X",Rum,2,438,Zombie
730,"Jamaican rum, Coruba",Rum,2,332,Teeth of the Puma
1140,"Jamaican rum, Myers's Dark",Rum,2,649,The Claymore
124,"Jamaican rum, Smith & Cross",Rum,2,33,New Nails
384,"Jamaican rum, Wray & Nephew",Rum,2,137,Port Royal
559,"Jamaican rum, Wray & Nephew Overproof",Rum,2,231,Shark
1476,"Japanese Whisky, Nikka Coffey Grain",Whisky,4,1007,Koi Pond Punch
540,"Japanese Whisky, Suntory Toki blended",Whisky,4,221,Scotch Violet
1287,Jasmine Green Loose Leaf Tea,General,0,807,Flowing With The Tea
794,"Jasmine Liqueur, Koval",Liqueur,10,373,Two Hits
2021,Jasmine Syrup,General,0,2018,Tea Zhen
1884,Jelly or Jam,General,0,1492,Fruitcake Sour
1286,Juniper Berry,General,0,807,Flowing With The Tea
2149,Juniper Berry,Garnish,11,2911,"Star Anise, Juniper Berries"
420,Jägermeister,Liqueur,10,159,Ragnarök
1729,Kahlua Coffee Liqueur,Liqueur,10,1278,White Russian
456,"Kinnickinnic Whiskey, Great Lakes Distillery",Whisky,4,180,Rhuld-Fashioned
138,Kirschwasser,Brandy,5,37,Nicole Bettinger
964,"Kirschwasser, Clear Creek",General,0,509,Bangarang
1117,"Kirschwasser, Schladerer",Brandy,5,637,Cherry Herring No. 2
1992,Kiwi,Garnish,11,1842,Green Frog
1244,Kiwi,General,0,749,Ectoplasm Cooler
1968,Kiwi Liqueur,Liqueur,10,1769,Cool as a Cucumber
2000,Kiwi Schnapps,Liqueur,10,1874,Kiwi Caipiroska
2125,Kiwi Vodka,Vodka,3,2708,Kiwi Basil Sour
524,"Kombucha (Cranberry, as top)",General,0,214,SATAMA PUNCH
611,Kosher Salt,Garnish,11,260,Smoked Jack Rabbit
219,Kosher Salt,General,0,67,The Option Clause
1782,Kraken Black Spiced Rum,Rum,2,1334,Kraken Hattan
2057,Kumbava Juice,General,0,2272,Hen Do Berry
263,Kummel,Liqueur,10,82,Pantone
1433,"Kummel, Combier",Liqueur,10,949,Icelandish
2052,Kumquat,Garnish,11,2216,G'Vine Ruby
206,Kumquat,General,0,63,Old Sao Paolo
426,Lactart,General,0,160,Raspberry Punch
1282,Lavender,Garnish,11,805,Flower Girl
2105,Lavender,General,0,2634,Double Honey
1281,Lavender Syrup,General,0,805,Flower Girl
1182,"Lavender Tea, Harney and Sons",General,0,686,Cucumber Lavender Sour Punch
1066,Lavender bitters,General,0,595,Bulwer-Lytton
77,Lemon,Garnish,11,16,Mr. Swizzle
424,Lemon,General,0,160,Raspberry Punch
1695,Lemon / Citrus Twist,Garnish,11,1222,50/50 Martini
1790,Lemon Hart 151,Rum,2,1344,Zombie (1934)
1807,Lemon Juice,General,0,1364,Adios Mother
1707,Lemon Peel,Garnish,11,1236,Corpse Reviver #2
1754,Lemon Peel (optional),Garnish,11,1304,Gold Rush
1728,Lemon Slice,Garnish,11,1275,Vodka Collins
1991,Lemon Syrup,General,0,1841,Green Dream
93,"Lemon Tree Bitters, Bittercube",General,0,20,Nandakhal
1563,Lemon Twist,Garnish,11,1130,Lemon Drop
1721,Lemon Twist (optional),Garnish,11,1262,Rusty Nail
1651,Lemon Wedge,General,0,1181,Whiskey Smash
1668,Lemon Wedge,Garnish,11,1196,Flawless Victory
1727,Lemon Wheel,Garnish,11,1274,Tom Collins
1916,Lemon Zest,General,0,1581,Pineapple Spiced Punch
1726,Lemon Zest,Garnish,11,1273,The Vesper
828,Lemon balm,General,0,403,Watermelon Shandy
944,Lemon bitters,General,0,492,Astroturf
256,Lemon bitters (Dashfire),General,0,80,Pantry Raid
1214,"Lemon bitters, Fee Brothers Lemon",General,0,711,Dead Man's Hand
21,Lemon juice,General,0,3,Mizz Mazza
1054,Lemon juice,Garnish,11,588,Brandy Crusta
83,Lemon peel,Garnish,11,18,Mustache Ride
48,Lemon peel,General,0,8,Montauk (NoMad)
1392,Lemon syrup,General,0,903,He's Crafty
1027,Lemon vodka (Charbay Meyer Lemon),Vodka,3,568,Blue Monday
493,Lemon zest,General,0,196,"Run, Run, As Fast As You Can"
451,Lemon zest,Garnish,11,177,Rhubarb and Rye
50,Lemon-Lime Soda,General,0,9,The Monte Press
1767,Lemon/Orange Twist,Garnish,11,1318,Perfect Manhattan
1750,Lemonade,General,0,1300,Cucumber Basil Lime Gimlet
1506,Lemongrass,General,0,1056,Lithuanian Daiquiri
2028,Lemongrass,Garnish,11,2079,Xellent Red Berries
2027,Lemongrass Syrup,General,0,2079,Xellent Red Berries
86,Licor 43,Liqueur,10,19,Nacho Sour
1862,Light Cream,General,0,1448,Creamy Martini
1606,Light Puerto Rican Rum,Rum,2,1148,Doctor Funk
1586,Light Rum,Rum,2,1138,Aruba Ariba
509,Light rum,Rum,2,208,Saint Valentine
198,Light rum (Overproof),Rum,2,61,Old Painless is Waiting
1501,Light rum (Privateer),Rum,2,1044,Life's Not a Paragraph
403,Light rum (Puerto Rican),Rum,2,149,Puka Punch
522,"Light rum, Bacardi",Rum,2,214,SATAMA PUNCH
535,"Light rum, Cruzan Aged Light",Rum,2,219,Scorpion
4,"Light rum, Flor de Caña Dry 4",Rum,2,1,Missionary's Downfall (Don the Beachcomber)
545,"Light rum, Old New Orleans",Rum,2,225,Señor Staypuff
70,"Light rum, Plantation 3 Star",Rum,2,15,Mr. Manager
922,"Light rum, Probitas",Rum,2,479,Anne Bonny's Last Call
1706,Lillet Blanc,Wine,8,1236,Corpse Reviver #2
2060,Lillet Rouge,Wine,8,2293,Lapsang Martinez
95,Lime,General,0,20,Nandakhal
602,Lime,Garnish,11,256,Sloe and Unsteady
3,Lime (Quartered),General,0,0,The Missionary
1420,Lime (cut into wedges),General,0,935,Hopped Gimlet
205,Lime (muddled),General,0,63,Old Sao Paolo
1209,Lime (squeeze and drop),General,0,707,Dark 'n Stormy
1924,Lime Bitters,General,0,1608,Rum Old-fashioned
1804,Lime Juice,General,0,1363,Acapulco
2062,Lime Marmalade,General,0,2351,North Sea Breeze
1755,Lime Slice,Garnish,11,1306,Nor'Easter
1908,Lime Vodka,Vodka,3,1540,Limey Cocktail
1621,Lime Wedge,Garnish,11,1155,Knickerbocker
1633,Lime Wheel,Garnish,11,1163,Palomar
500,Lime cordial,Spirits,21,202,Sabre
104,"Lime cordial, Rose's",General,0,24,Naval Gimlet
7,Lime juice,General,0,1,Missionary's Downfall (Don the Beachcomber)
448,Lime peel,Garnish,11,176,Revenge of the Lawn
72,Lime peel,General,0,15,Mr. Manager
1584,Lime wedge,Garnish,11,1137,Ancient Mariner
435,Lime zest (for stirring only),General,0,168,Redrum
1701,"Lime, Quartered",General,0,1230,Caipiroska / Capivodka
1503,Limeade,General,0,1047,Limey Ben
1892,Limoncello,Liqueur,10,1509,Head's Up
854,Limoncello,Vodka,3,423,Wytches' Brew
1537,"Limoncello, Pallini",Vodka,3,1105,Meatpacker
2056,Liqueur,Liqueur,10,2267,Hanky Penky
2041,Liqueur (Aperitivo Luxardo),Liqueur,10,2158,Citrus Quo
1156,Liquid smoke,General,0,664,Constantinople
1614,London Dry Gin,Gin,1,1151,Gin & Orange Special
1261,Luxardo Bitter,General,0,778,Fall Manhattan
1234,Luxardo Bitter (Bianco),General,0,735,Domo Arigato Mr. Roboto
1566,Luxardo Maraschino Cherry,General,0,1131,Midori Sour
1602,Luxardo Maraschino Cherry,Garnish,11,1144,Blue Hawaiian
1766,Luxardo Maraschino Cherry Syrup,General,0,1317,Amaro Manhattan
2030,Lychee,Garnish,11,2080,Xellent Thai
2045,Lychee Fruit,Garnish,11,2194,Fashioned Wenn
2029,Lychee Fruit Puree,Garnish,11,2080,Xellent Thai
2108,Lychee Fruit Puree,General,0,2643,Far East Caipirinha
2012,Lychee Juice,General,0,1971,Russian Snowflake
1975,Lychee liqueur,Liqueur,10,1793,Dragon's Blood
758,"Lychee liqueur, Gabriel Boudier (Litchi)",Liqueur,10,347,Tiger Lily
1123,"Lychee liqueur, Soho",Liqueur,10,639,Choke Me Softly
273,Mace tincture (with arnica flower-wormwood),General,0,85,The Pastry War Cocktail
402,Madeira,Wine,8,148,Provocateur
1526,"Madeira, Blandy's Malmsey 5 Year",Wine,8,1083,Malmsey Flip
643,"Madeira, Broadbent Rainwater Medium Dry",Wine,8,279,Soveral
267,"Maguey sweet sap, Villa de Patos (or agave nectar)",General,0,83,Pasado de Moda
1344,Mandarin,Garnish,11,856,Gingerbread
1342,Mandarin orange juice,General,0,856,Gingerbread
1421,"Mandarin orange liqueur, Mandarine Napoleon",Liqueur,10,937,Hope Cocktail
1909,Mandarine Napoleon,Liqueur,10,1544,Mandarine Mojito
1880,Mango,General,0,1489,Frozen Mango Daiquiri
1881,Mango,Garnish,11,1489,Frozen Mango Daiquiri
1899,Mango Liqueur,Liqueur,10,1527,Jungle Mango
1933,Mango Nectar,General,0,1636,Tai Tini
1390,Mango Syrup,General,0,902,Hazy Daiquiri
800,Mango juice,General,0,378,Un Poivron en Vacances (Mr Pepper on Holiday)
1206,"Manzanilla sherry, La Gitana",Wine,8,702,Dandara
998,"Maple Canadian whisky, SAP56",Whisky,4,543,Bitter Sweet Poison
1658,Maple Syrup,General,0,1188,Bashful Canadian
40,Maple syrup,General,0,7,A Monkey In Winter
941,"Maple syrup (Grade A Dark Color, Robust Taste)",General,0,489,As The Seasons Grey
1010,Maple syrup (pure),General,0,554,Black Rye
2093,Maraschino Bitters,General,0,2560,Brandied Boat
1797,Maraschino Cherry,Garnish,11,1357,Boars Tooth
115,Maraschino Liqueur,Liqueur,10,30,Negroni Crusta
1434,Maraschino Liqueur (1 bsp),Liqueur,10,953,Improved Bamboo
258,"Maraschino Liqueur, Luxardo",Liqueur,10,81,Papa's Punch
465,"Maraschino Liqueur, Maraska",Liqueur,10,182,Ricetta Rosa
1187,Maraschino cherry,General,0,688,Cupid's Revenge Cocktail
99,Maraschino cherry,Garnish,11,22,Nassau Street Cocktail
519,Maraschino cherry (muddled),General,0,212,SAMCRO
1074,Maraschino cherry syrup,General,0,601,Bzzzt!
1090,"Maraschino cherry, Luxardo",General,0,621,Carpano Sour
748,"Maraschino cherry, Luxardo",Garnish,11,340,Thursday's Child
1110,Marmalade,General,0,632,Champagne Year
135,Marmalade (Carrot marmalade optional),General,0,36,Nice Bitter Toast
550,Marshmallow,Garnish,11,225,Señor Staypuff
2129,Marshmallow Vodka,Vodka,3,2729,Mash-Mellow
1574,Martinique Rum,Rum,2,1135,3 Dots and a Dash
353,"Martinique Rum, Clément (Blanc Première canne)",Rum,2,126,Pisse Tafia
892,"Martinique Rum, La Favorite",Rum,2,447,5 Spot
1406,"Martinique Rum, Rhum JM Blanc",Rum,2,919,Hikihoho
1157,Mastika,Liqueur,10,666,Contrapposto
979,Maurin Quina,General,0,522,Bend Sinister
764,Mekhong,Rum,2,353,Tongue Thai'd
1850,Melon,General,0,1431,Cantaloupe Cup
1851,Melon,Garnish,11,1431,Cantaloupe Cup
1882,Melon Schnapps,Liqueur,10,1490,Frozen Melon Madness
2118,Melon Vodka,Vodka,3,2677,Green on Orange Melon
1806,Melon liqueur,Liqueur,10,1364,Adios Mother
664,"Melon liqueur, Midori",Liqueur,10,292,Stay Gold
1515,Metaxa,Spirits,21,1073,M & M
1654,Mexican Lager,Beer,7,1182,Michelada
1613,Mexican Mole Bitters,General,0,1150,Gin & Jam
788,Meyer lemon,General,0,367,Troisième Rail
787,Meyer lemon juice,General,0,367,Troisième Rail
182,Mezcal,Mezcal,20,55,Oaxacan Dream
1550,Mezcal (Cenizio Colonial),Mezcal,20,1122,The Midnight Tryst
494,Mezcal (Float),Mezcal,20,196,"Run, Run, As Fast As You Can"
417,Mezcal (Joven),Mezcal,20,155,The Quick Brown Fox
1322,"Mezcal (Joven, coffee infused)",Mezcal,20,840,Gato Negro Instantáneo
217,Mezcal (Monte Alban),Mezcal,20,67,The Option Clause
1330,Mezcal (Sieta Misterios),Mezcal,20,844,The Geometry of Shadows
177,Mezcal (Smoky),Mezcal,20,53,Oaxaca Forever
806,Mezcal (Verde),Mezcal,20,384,Unusual sour
745,Mezcal (non-smoky),Mezcal,20,340,Thursday's Child
1458,"Mezcal, Alipus San Balthazar",Mezcal,20,982,Jalapeño de Oro
1492,"Mezcal, Banhez",Mezcal,20,1030,The Last Worm
106,"Mezcal, Del Maguey",Mezcal,20,26,Nectar o(ld) f(ashioned) The Gods
71,"Mezcal, Del Maguey Vida",Mezcal,20,15,Mr. Manager
641,"Mezcal, Del Maguey Vida (smoky)",Mezcal,20,278,Southland
937,"Mezcal, Fidencio Clásico",Mezcal,20,488,arsenic and mexican lace
133,"Mezcal, Ilegal",Mezcal,20,36,Nice Bitter Toast
568,"Mezcal, Ilegal Joven",Mezcal,20,233,Shattered Dreams
222,"Mezcal, Ilegal Reposado",Mezcal,20,68,Orange Sunset
1544,"Mezcal, Scorpion Silver",Mezcal,20,1114,Mezcal Cafe su Da
988,"Mezcal, Sombra",Mezcal,20,534,The Big City
1564,Midori Melon Liqueur,Liqueur,10,1131,Midori Sour
907,Milk,General,0,464,Algarrobina
1854,Mineral Water,General,0,1434,Century Club Punch
9,Mint,General,0,1,Missionary's Downfall (Don the Beachcomber)
11,Mint,Garnish,11,1,Missionary's Downfall (Don the Beachcomber)
583,Mint (for muddling),General,0,242,Silver 75
993,Mint Bitters (optional),General,0,539,Bitter Double ImPeachMint
1617,Mint Leaf,General,0,1152,Gin Gin Mule
1703,Mint Leaf,Garnish,11,1233,Chicago South Side
1875,Mint Rum,Rum,2,1479,Flamenco Royal
1585,Mint Sprig,Garnish,11,1137,Ancient Mariner
1222,Mint syrup,General,0,722,Derby Cup
1509,"Mirabelle eau-de-vie, Miclo",Spirits,21,1066,The Lorraine Sour
289,"Muscat Wine, Chambers",Wine,8,94,Perfect Summit Manhattan
2135,Mustard,General,0,2784,Plasma
1306,Navy strength gin,Gin,1,827,Friûl Libar
47,"Navy strength gin, Hayman's Royal Dock",Gin,1,8,Montauk (NoMad)
432,Navy strength rum,Rum,2,168,Redrum
1316,"Navy strength rum, Pusser's",Rum,2,834,Gaboon Viper
497,"Navy strength rum, Smith & Cross",Rum,2,199,Rusty Cross
100,Nectarine,General,0,23,Navy Fizz
726,"Nicaraguan Rum, Flor de Caña",Rum,2,330,TBD (Thai Basil Daiquiri)
1146,"Nicaraguan Rum, Flor de Caña 7",Rum,2,655,Clumsy Toasted Coconut Punch
558,"Nicaraguan Rum, Flor de Caña Extra Dry",Rum,2,231,Shark
365,"Nicaraguan Rum, Flor de Caña Gold 4",Rum,2,129,Plantation Fever
1430,Nin Jiom Pei Pa Koa,General,0,945,Hulk Smash!
771,Nocino,Liqueur,10,355,Tony Chestnut
1171,Nocino (Nux Alpina Walnut Liqueur),Liqueur,10,679,Creme de No Swizzle
1949,Noilly Prat,Wine,8,1688,Anne-Rosine
737,Nutmeg,General,0,337,There's a Road-Snake On Your Hammie
201,Nutmeg,Garnish,11,61,Old Painless is Waiting
629,Nutmeg (Freshly grated over the top),General,0,271,Son of Santa
1052,Nutmeg (fresh grated),General,0,587,Brandy Alexander
491,Nutmeg (freshly ground),General,0,195,Rum Balans
901,"Nutmeg (grated, on top)",General,0,452,151 Swizzle
1730,Nutmeg (optional),Garnish,11,1278,White Russian
521,Nutmeg Simple Syrup,General,0,213,Santa's Little Helper
555,Okolehao liqueur,Liqueur,10,229,Shaka
314,Old Tom Gin,Gin,1,104,The Phrasemaker
407,Old Tom Gin (Gin Lane 1751),Gin,1,150,Purification
1080,Old Tom Gin (or London Dry Gin),Gin,1,605,Call of the Wild
1057,"Old Tom Gin, Hayman's",Gin,1,590,British Buck
1401,"Old Tom Gin, Ransom",Gin,1,914,Hercules
738,"Old Tom Gin, Tanqueray Old Tom",Gin,1,338,Thom Collins
1709,Olive,General,0,1237,Dirty Martini
1698,Olive,Garnish,11,1226,Bijou Cocktail
1708,Olive Brine,General,0,1237,Dirty Martini
1972,Olive Juice,General,0,1783,Dirty Gold Martini
1275,Oloroso sherry,Wine,8,794,Fire and Blood
225,Oloroso sherry (Or Amontillado),General,0,69,Orchard Street
838,"Oloroso sherry, Lustau",Wine,8,411,Window to the Flor
2085,Onion Powder,General,0,2538,Bloody Carioca Caipirinha
1710,Optional Olive,Garnish,11,1243,Gin Martini
229,Orange,Garnish,11,71,Original Cinn
458,Orange,General,0,180,Rhuld-Fashioned
1603,Orange Bitters,General,0,1145,Blueberry Mezcal Margarita
290,Orange Curaçao,Liqueur,10,94,Perfect Summit Manhattan
1094,Orange Curaçao (Pierre Ferrand),Liqueur,10,623,Carrie's Book Club
824,"Orange Curaçao, Bols",Liqueur,10,402,Ward 8 Tiki
504,"Orange Curaçao, Marie Brizard",Liqueur,10,204,Saffron and Bitter Orange Martini
1718,Orange Flower Water,General,0,1259,Ramos Gin Fizz
1803,Orange Juice,General,0,1361,9 Lives
1615,Orange Liqueur,Liqueur,10,1151,Gin & Orange Special
1961,Orange Marmalade,General,0,1735,Brunch Punch
1724,Orange Peel,Garnish,11,1267,Sidecar
1570,Orange Slice,Garnish,11,1133,Sex on the Beach
1694,Orange Twist,General,0,1220,Rouge 75
1657,Orange Twist,Garnish,11,1184,Americano
2110,Orange Vodka,Vodka,3,2647,Flower Power Sour
1604,Orange Wheel,Garnish,11,1146,Bocce Ball
1747,Orange Wheel / Cherry,Garnish,11,1298,Tequila Sunrise
1665,Orange Zest,Garnish,11,1194,Emerald Cocktail
69,Orange bitters,General,0,14,Mount Pelée
469,Orange bitters,Garnish,11,184,The Riviera
437,Orange bitters (CocktailPunk's Smoked Orange Bitters),General,0,169,Refresh The Night
1042,Orange bitters (Regan's),General,0,582,Le Bourdonnement
1031,"Orange bitters, Angostura",General,0,569,Blue Pegu
871,"Orange bitters, Angostura orange",General,0,434,You'll Shoot Your Eye Out
505,"Orange bitters, Bitter Truth Orange",General,0,204,Saffron and Bitter Orange Martini
990,"Orange bitters, Bittercube",General,0,536,Bijou Bohème
705,"Orange bitters, Fee Brothers Orange",General,0,316,The Summit
230,"Orange bitters, Regans' orange bitters",General,0,72,Ott's Special
241,"Orange chocolate liqueur, Distillerie de Biercée Orangine",Liqueur,10,76,Ovid's First Century Myth
1397,Orange cream citrate,General,0,909,Hemingway stirred nonsense
610,"Orange cream citrate, Bittermens",General,0,260,Smoked Jack Rabbit
1272,Orange flower syrup,General,0,789,"""Figure 8"""
1547,Orange flower water,Garnish,11,1117,Midnight Cicada
700,Orange flower water,General,0,313,Summertime Clothes
1100,"Orange flower water, Fee Brothers",General,0,626,Casa Arancione
79,Orange juice,General,0,17,The Music Orange
1499,Orange liqueur (PF Dry Curaçao),Liqueur,10,1042,Letter to a Younger Self
247,"Orange liqueur, Clément Créole Shrubb",Liqueur,10,78,Painmaker
1239,"Orange liqueur, Cointreau",Liqueur,10,745,Dyckman After Dark
1070,"Orange liqueur, Combier L'Original Liqueur D'Orange",Liqueur,10,597,Bundt Cake Buddha
59,"Orange liqueur, Grand Marnier",Liqueur,10,11,Moral Turpitude
434,"Orange liqueur, Pierre Ferrand Dry Curaçao",Liqueur,10,168,Redrum
617,"Orange liqueur, Prunier (or Grand Marnier)",Liqueur,10,262,Smoked Margarita
323,"Orange liqueur, Royal Combier",Liqueur,10,108,Pierre Rodriguez
783,"Orange liqueur, Solerno blood orange liqueur",Liqueur,10,365,Treble Green
36,Orange marmalade,General,0,6,El Momento Perfecto
141,Orange peel,General,0,38,Night Tripper
27,Orange peel,Garnish,11,4,"Mockingbird, Wish Me Luck"
1679,Orange slice,Garnish,11,1204,Sundowner
692,"Orange soda water, San Pellegrino Aranciata Amara",General,0,310,Summer ITP
1932,Orangecello,Liqueur,10,1636,Tai Tini
1635,Orchid,Garnish,11,1166,Pearl Diver
2074,Orchid Syrup,General,0,2486,Xellent Flower Power
2115,Oregano,General,0,2659,Gazpacho Cocktail
1,Orgeat,General,0,0,The Missionary
1364,Orgeat (Pistachio),General,0,875,The Grand Bazaar
1624,Orgeat / Almond syrup,General,0,1157,Luau
1826,Orgeat Syrup,General,0,1389,Bali Hai
683,"Orgeat, Monin",General,0,304,Stringfellow's Lament
1369,"Orgeat, Small Hand Foods",General,0,877,Grapes of Wrath
237,"Oude genever, Bols",Spirits,21,75,Oude Bloodhound
691,Ouzo,Liqueur,10,309,Summer in Peloponnese
1605,Overproof Rum / 151,Rum,2,1147,Demerara Dry Float
969,Overproof bourbon,Whisky,4,514,BataBing
812,"Overproof bourbon, Old Grand Dad 114",Whisky,4,387,The Van Damme
537,Overproof rum (Optional),Rum,2,219,Scorpion
319,Overproof rum (Plantation OFTD),Rum,2,106,Pickwick Club
899,"Overproof rum, Lemon Hart 151",Rum,2,452,151 Swizzle
1235,"Overproof rum, Plantation",Rum,2,741,Drunken Helmsman
831,"Overproof rum, Wray & Nephew Overproof",Rum,2,404,Wheelwright Cocktail
1771,PAMA Pomegranate Liqueur,Liqueur,10,1324,Forbidden Sour
232,Pacharan,Gin,1,73,Otoño Cocktail
1375,Pale Ale (to top),Beer,7,882,The Gringo (From Portland)
2134,Papaya,General,0,2783,Pisco Papaya Infusion
1673,Paper Plane,Garnish,11,1200,Paper Plane
2086,Paprika,General,0,2538,Bloody Carioca Caipirinha
2087,Paprika,Garnish,11,2538,"Cucumber, Paprika"
883,Parfait Amour,Liqueur,10,441,"1,001 Tiaras"
714,"Parfait Amour, Marie Brizard",Liqueur,10,323,Sword at your Ex-Girlfriend's Wedding
1888,Passion Fruit,General,0,1496,Gentle Charisma
2008,Passion Fruit,Garnish,11,1952,Pornstar Martini
1756,Passion Fruit Bitters,General,0,1309,5th Amendment
1895,Passion Fruit Juice,General,0,1517,Hurricane Disaronno
1935,Passion Fruit Rum,Rum,2,1651,White Passion
1840,Passion Fruit Syrup,General,0,1411,Borinqueno
1889,Passion fruit,Garnish,11,1496,"Mango, Passion fruit, Pineapple"
556,Passion fruit juice,General,0,229,Shaka
