,name,img,ingredients,recipe,garnish,glass,url
0,9 Lives,http://www.completecocktails.com/img/d/l/9Lives.png,"[{'amount': '3/4', 'unit': 'oz', 'name': 'Spiced Rum (Cruzan)'}, {'amount': '3/4', 'unit': 'oz', 'name': 'White Rum (Cruzan Aged Light Rum)'}, {'amount': '1-1/2', 'unit': 'oz', 'name': 'Pineapple Juice'}, {'amount': '1', 'unit': 'oz', 'name': 'Orange Juice'}, {'amount': '2', 'unit': 'dashes', 'name': 'Angostura Bitters'}, {'amount': '1', 'unit': 'wedge', 'name': 'Pineapple'}]",Shake all ingredients with ice in a cocktail shaker. Strain into a glass full of ice. Garnish with a pineapple wedge and pineapple leaves. ,['Pineapple'],Any Glass,http://www.completecocktails.com/Drinks/9Lives.aspx#.ZAYBMHZByUk
1,9 Lives Cruzan,http://www.completecocktails.com/img/d/l/9LivesCruzan.png,"[{'amount': '1', 'unit': 'oz', 'name': 'Spiced Rum (Cruzan 9)'}, {'amount': '1', 'unit': 'oz', 'name': 'White Rum (Cruzan)'}, {'amount': '3', 'unit': 'oz', 'name': 'Pineapple Juice'}, {'amount': '2', 'unit': 'oz', 'name': 'Orange Juice'}, {'amount': '3', 'unit': 'dashes', 'name': 'Angostura Bitters'}, {'amount': 'null', 'unit': 'null', 'name': 'Pineapple'}]","Shake spiced rum, white rum, pineapple juice and orange juice with ice in a cocktail shaker. Strain into a glass full of ice and top with bitters. Garnish with a pineapple wedge and pineapple leaves. ",['Pineapple'],Any Glass,http://www.completecocktails.com/Drinks/9LivesCruzan.aspx#.ZAYBNHZByUk
2,Acapulco,http://www.completecocktails.com/img/g/l/RocksGlass.png,"[{'amount': '2', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Cointreau'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Lime Juice'}, {'amount': '1', 'unit': 'tsp', 'name': 'Sugar'}, {'amount': '1', 'unit': 'null', 'name': 'Egg - white'}, {'amount': 'null', 'unit': 'sprig', 'name': 'Mint'}]",Shake all ingredients with ice in a cocktail shaker. Strain into a rocks glass full of ice. Garnish with a sprig of mint and serve. ,['Mint'],Rocks Glass,http://www.completecocktails.com/Drinks/Acapulco.aspx#.ZAYBOXZByUk
3,Adios Mother,http://www.completecocktails.com/img/g/l/RocksGlass.png,"[{'amount': '1', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Melon Liqueur'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Lemon Juice'}, {'amount': 'null', 'unit': 'dash', 'name': 'Triple Sec'}, {'amount': 'null', 'unit': 'dash', 'name': 'Blue Curacao'}, {'amount': '1', 'unit': 'tsp', 'name': 'Sugar'}]",Shake all ingredients well with ice in a cocktail shaker. Strain into a rocks glass and serve. ,[],Rocks Glass,http://www.completecocktails.com/Drinks/AdiosMother.aspx#.ZAYBPnZByUk
4,Adios Mother Iced Tea,http://www.completecocktails.com/img/d/l/AdiosMotherIcedTea.jpg,"[{'amount': '1/2', 'unit': 'oz', 'name': 'Blue Curacao'}, {'amount': '1/2', 'unit': 'oz', 'name': 'White Rum (Cruzan)'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Tequila - Silver'}, {'amount': '3', 'unit': 'oz', 'name': 'Sour Mix'}, {'amount': 'null', 'unit': 'null', 'name': 'Lemon-lime Soda'}]","Shake blue curacao, rum, vodka, tequila and sour mix with ice in a cocktail shaker. Strain into a highball glass full of ice. Fill with lemon-lime soda and serve. ",[],Highball Glass,http://www.completecocktails.com/Drinks/AdiosMotherIcedTea.aspx#.ZAYBQ3ZByUk
5,Agricole Daiquiri,http://www.completecocktails.com/img/d/l/AgricoleDaiquiri.png,"[{'amount': '2', 'unit': 'oz', 'name': 'White Rum (Clement Premiere Canne)'}, {'amount': '1/4', 'unit': 'oz', 'name': 'Simple Syrup (Clement Sirop de Canne)'}, {'amount': '1/4', 'unit': 'oz', 'name': 'Lime Juice'}, {'amount': 'null', 'unit': 'slice', 'name': 'Lime'}]","Shake rum, sugar syrup and lime juice with ice in a cocktail shaker. Strain into a chilled cocktail glass. Garnish with a slice of lime. ",['Lime'],Cocktail Glass,http://www.completecocktails.com/Drinks/AgricoleDaiquiri.aspx#.ZAYBR3ZByUk
6,Agricole Mojito,http://www.completecocktails.com/img/d/l/AgricoleMojito.png,"[{'amount': '2', 'unit': 'oz', 'name': 'White Rum (Clement Premiere Canne)'}, {'amount': '8', 'unit': 'leaves', 'name': 'Mint'}, {'amount': '3', 'unit': 'wedges', 'name': 'Lime'}, {'amount': '1/4', 'unit': 'oz', 'name': 'Simple Syrup (Clement Sirop de Canne)'}, {'amount': 'null', 'unit': 'null', 'name': 'Club Soda'}]","Muddle lime wedges, mint and sugar syrup in the bottom of a cocktail shaker. Add rum and ice, then shake well. Strain into a rocks glass full of ice. Top with a generous splash of club soda and garnish with mint. ",['Mint'],Rocks Glass,http://www.completecocktails.com/Drinks/AgricoleMojito.aspx#.ZAYBS3ZByUk
7,Almond Surfer,http://www.completecocktails.com/img/d/l/AlmondSurfer.jpg,"[{'amount': '1/2', 'unit': 'oz', 'name': 'Amaretto (Disaronno)'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Coconut Rum (Malibu)'}, {'amount': '1', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1/2', 'unit': 'null', 'name': 'Pineapple Juice'}, {'amount': '1/2', 'unit': 'null', 'name': 'Cranberry Juice'}]","Add Disaronno, coconut rum and white rum to a highball glass full of ice. Fill with equal amounts pineapple juice and cranberry juice and stir. ",[],Highball Glass,http://www.completecocktails.com/Drinks/AlmondSurfer.aspx#.ZAYBUHZByUk
8,Amarula Colada,http://www.completecocktails.com/img/d/l/AmarulaColada.png,"[{'amount': '2', 'unit': 'oz', 'name': 'Amarula Cream Liqueur'}, {'amount': '1', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '2', 'unit': 'oz', 'name': 'Pineapple Juice'}, {'amount': '1', 'unit': 'oz', 'name': 'Coconut Cream'}, {'amount': '1/2', 'unit': 'cup', 'name': 'Ice - crushed'}, {'amount': '1', 'unit': 'slice', 'name': 'Pineapple'}]","Blend the Amarula cream liqueur, white rum, pineapple juice, coconut cream and crushed ice until smooth. Pour into a highball glass. Garnish with a pineapple slice and pineapple leaves. ",['Pineapple'],Highball Glass,http://www.completecocktails.com/Drinks/AmarulaColada.aspx#.ZAYBWXZByUk
9,American Flyer,http://www.completecocktails.com/img/g/l/WineGlass.jpg,"[{'amount': '1-1/2', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1', 'unit': 'tbsp', 'name': 'Lime Juice'}, {'amount': '1/2', 'unit': 'tsp', 'name': 'Simple Syrup'}, {'amount': 'null', 'unit': 'null', 'name': 'Champagne chilled, to top'}]","Shake rum, lime juice and simple syrup with ice in a cocktail shaker. Strain into a chilled wine glass. Fill with chilled champagne and stir gently. ",[],Wine Glass,http://www.completecocktails.com/Drinks/AmericanFlyer.aspx#.ZAYBXnZByUk
10,Andalusia,http://www.completecocktails.com/img/g/l/CocktailGlass.png,"[{'amount': '2', 'unit': 'oz', 'name': 'Sherry - dry sherry'}, {'amount': '1', 'unit': 'oz', 'name': 'Brandy'}, {'amount': '1', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1/4', 'unit': 'tsp', 'name': 'Angostura Bitters'}]",Stir all ingredients well with ice in a mixing glass. Strain into a chilled cocktail glass and serve. ,[],Cocktail Glass,http://www.completecocktails.com/Drinks/Andalusia.aspx#.ZAYBZXZByUk
11,Ankle Breaker,http://www.completecocktails.com/img/g/l/RocksGlass.png,"[{'amount': '2', 'unit': 'oz', 'name': 'White Rum (151-proof)'}, {'amount': '1', 'unit': 'oz', 'name': 'Cherry Brandy'}, {'amount': '1', 'unit': 'oz', 'name': 'Lime Juice'}, {'amount': '1', 'unit': 'tsp', 'name': 'Simple Syrup'}]",Shake all ingredients with ice in a cocktail shaker. Strain into a chilled rocks glass and serve. ,[],Rocks Glass,http://www.completecocktails.com/Drinks/AnkleBreaker.aspx#.ZAYBaXZByUk
12,Another Shot in the Darker,http://www.completecocktails.com/img/d/l/AnotherShotInTheDark.png,"[{'amount': '1-1/2', 'unit': 'oz', 'name': 'White Rum (Flor de Cana)'}, {'amount': '1', 'unit': 'oz', 'name': 'Lime Juice'}, {'amount': 'null', 'unit': 'null', 'name': 'Lemongrass'}, {'amount': '3/4', 'unit': 'oz', 'name': 'Agave Nectar'}, {'amount': 'null', 'unit': 'sprig', 'name': 'Mint'}, {'amount': 'null', 'unit': 'slice', 'name': 'Lime'}, {'amount': 'null', 'unit': 'null', 'name': 'Ginger Ale - to fill'}]","Muddle lemongrass and agave nectar in the bottom of a cocktail shaker. Add rum, lime juice and ice, and shake well. Strain into a highball glass full of ice and fill with ginger ale. Stir gently, then garnish with a slice of lime and mint. ","['Lime', ' Mint']",Highball Glass,http://www.completecocktails.com/Drinks/AnotherShotintheDarker.aspx#.ZAYBbnZByUk
13,Apple Brandy Cooler,http://www.completecocktails.com/img/g/l/CollinsGlass.png,"[{'amount': '2', 'unit': 'oz', 'name': 'Brandy'}, {'amount': '1', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1', 'unit': 'oz', 'name': 'Dark Rum'}, {'amount': '4', 'unit': 'oz', 'name': 'Apple Juice'}, {'amount': '1', 'unit': 'tsp', 'name': 'Simple Syrup'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Lime Juice'}, {'amount': 'null', 'unit': 'slice', 'name': 'Lime'}]",Shake all ingredients with ice in a cocktail shaker. Strain into a chilled Collins glass. Garnish with a slice of lime. ,['Lime'],Collins Glass,http://www.completecocktails.com/Drinks/AppleBrandyCooler.aspx#.ZAYBcnZByUk
14,Apple Daiquiri,http://www.completecocktails.com/img/d/l/AppleDaiquiri.jpg,"[{'amount': '1/2', 'unit': 'oz', 'name': 'Apple Schnapps (Pucker Sour Apple)'}, {'amount': '1', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1', 'unit': 'oz', 'name': 'Sour Mix'}, {'amount': '1', 'unit': 'oz', 'name': 'Apple Juice'}, {'amount': '1', 'unit': 'scoop', 'name': 'Ice Cream - vanilla'}, {'amount': '1', 'unit': 'slice', 'name': 'Apple'}]",Blend all ingredients until smooth. Pour into a chilled cocktail glass or champagne coupe. Garnish with an apple slice. ,['Apple'],Cocktail Glass,http://www.completecocktails.com/Drinks/AppleDaiquiri.aspx#.ZAYBd3ZByUk
15,Apple Pina Colada,http://www.completecocktails.com/img/d/l/ApplePinaColada.jpg,"[{'amount': '1', 'unit': 'oz', 'name': 'Apple Schnapps (Pucker Sour Apple)'}, {'amount': '1', 'unit': 'oz', 'name': 'White Rum (Cruzan)'}, {'amount': 'null', 'unit': 'null', 'name': 'Pina Colada Mix'}]","Fill a highball glass with ice. Add sour apple schnapps and white rum. Fill with pina colada mix, or equal parts coconut milk and pineapple juice, and stir. ",[],Highball Glass,http://www.completecocktails.com/Drinks/ApplePinaColada.aspx#.ZAYBfHZByUk
16,Apple Rum Rickey,http://www.completecocktails.com/img/g/l/HighballGlass.png,"[{'amount': '1', 'unit': 'oz', 'name': 'Apple Brandy'}, {'amount': '1/2', 'unit': 'oz', 'name': 'White Rum'}, {'amount': 'null', 'unit': 'null', 'name': 'Mineral Water'}, {'amount': 'null', 'unit': 'null', 'name': 'Lime'}]",Shake rum and apple brandy with ice in a cocktail shaker. Strain into a highball glass full of ice. Fill with chilled mineral water and garnish with a lime twist. ,['Lime'],Highball Glass,http://www.completecocktails.com/Drinks/AppleRumRickey.aspx#.ZAYBgnZByUk
17,Apple Swizzle,http://www.completecocktails.com/img/g/l/RocksGlass.png,"[{'amount': '2', 'unit': 'oz', 'name': 'Apple Brandy'}, {'amount': '1/2', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Lime Juice'}, {'amount': '1', 'unit': 'tsp', 'name': 'Simple Syrup'}, {'amount': '2-3', 'unit': 'dashes', 'name': 'Angostura Bitters'}]","Mix all ingredients with ice in a mixing glass. Pour into a chilled rocks glass, ice and all. ",[],Rocks Glass,http://www.completecocktails.com/Drinks/AppleSwizzle.aspx#.ZAYBhnZByUk
18,Apricot Lady,http://www.completecocktails.com/img/g/l/RocksGlass.png,"[{'amount': '1-1/2', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1', 'unit': 'oz', 'name': 'Apricot Brandy'}, {'amount': '1/2', 'unit': 'tsp', 'name': 'Triple Sec'}, {'amount': '1', 'unit': 'tbsp', 'name': 'Lime Juice'}, {'amount': '1', 'unit': 'null', 'name': 'Egg - white'}, {'amount': 'null', 'unit': 'slice', 'name': 'Orange'}]",Shake all ingredients with ice in a cocktail shaker. Strain into a rocks glass full of ice. Garnish with an orange slice and serve. ,['Orange'],Rocks Glass,http://www.completecocktails.com/Drinks/ApricotLady.aspx#.ZAYBinZByUk
19,Apricot Mojito,http://www.completecocktails.com/img/d/l/ApricotMojito.jpg,"[{'amount': '2', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '3/4', 'unit': 'oz', 'name': 'Apricot Brandy'}, {'amount': '3/4', 'unit': 'oz', 'name': 'Lime Juice'}, {'amount': '1/3', 'unit': 'oz', 'name': 'Simple Syrup'}, {'amount': '6', 'unit': 'leaves', 'name': 'Mint'}, {'amount': 'null', 'unit': 'null', 'name': 'Club Soda'}, {'amount': 'null', 'unit': 'wedge', 'name': 'Lime'}]","Muddle mint leaves and rum in the bottom of a highball glass. Add apricot liqueur, lime juice and simple syrup and stir gently, then fill with ice. Top with club soda and garnish with a sprig of mint and a lime wedge. ","['Mint', ' Lime']",Highball Glass,http://www.completecocktails.com/Drinks/ApricotMojito.aspx#.ZAYBj3ZByUk
20,Aprioct Daiquiri,http://www.completecocktails.com/img/g/l/AnyGlass.png,"[{'amount': '1', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Apricot Brandy'}, {'amount': '1', 'unit': 'oz', 'name': 'Lemon Juice'}, {'amount': '3', 'unit': 'null', 'name': 'Apricot'}, {'amount': '1/2', 'unit': 'cup', 'name': 'Ice - crushed'}]","Blend all ingredients until smooth. Pour into a chilled rocks glass. Garnish with an apricot slice, a maraschino cherry and a sprig of mint. ","['Apricot', ' Maraschino Cherry', ' Mint']",Any Glass,http://www.completecocktails.com/Drinks/AprioctDaiquiri.aspx#.ZAYBlXZByUk
21,Astronaut,http://www.completecocktails.com/img/d/l/Astronaut.jpg,"[{'amount': '1-1/2', 'unit': 'oz', 'name': 'Dark Rum'}, {'amount': '1/2', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1/4', 'unit': 'oz', 'name': 'Triple Sec'}, {'amount': '6', 'unit': 'dashes', 'name': 'Pernod'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Falernum'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Lime Juice'}, {'amount': 'null', 'unit': 'dash', 'name': 'Angostura Bitters'}, {'amount': '1/2', 'unit': 'cube', 'name': 'Ice - crushed'}, {'amount': '1', 'unit': 'null', 'name': 'Cherry'}]","Blend all ingredients for a few seconds. Pour into a rocks glass, then garnish with a cherry and an orange twist. ","['Cherry', ' Orange']",Rocks Glass,http://www.completecocktails.com/Drinks/Astronaut.aspx#.ZAYBmXZByUk
22,Au Nom de la Rose,http://www.completecocktails.com/img/d/l/AuNomDeLaRose.jpg,"[{'amount': '2/3', 'unit': 'oz', 'name': 'Strawberry Liqueur (Joseph Cartron Creme de Fraise des Bois)'}, {'amount': '1-1/3', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1', 'unit': 'tbsp', 'name': 'Brown Sugar'}, {'amount': '4', 'unit': 'null', 'name': 'Raspberry'}, {'amount': '2', 'unit': 'slices', 'name': 'Lime'}, {'amount': 'null', 'unit': 'null', 'name': 'Champagne - to top'}, {'amount': 'null', 'unit': 'null', 'name': 'Strawberry'}]","Muddle raspberries and lime slice in the bottom of a cocktail shaker. Add strawberry liqueur, white rum and ice, and shake well. Strain into a chilled cocktail glass and top with chilled champagne. Garnish with strawberry slices and rose petals. ","['Rose', ' Strawberry']",Cocktail Glass,http://www.completecocktails.com/Drinks/AuNomdelaRose.aspx#.ZAYBnnZByUk
23,Autumn-Tini,http://www.completecocktails.com/img/d/l/Autumn-Tini.png,"[{'amount': '1', 'unit': 'oz', 'name': 'White Rum (Cruzan)'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Hazelnut Liqueur (DeKuyper Hazelnut Bliss)'}, {'amount': '1-1/2', 'unit': 'oz', 'name': 'Pear Juice - or pear nectar'}, {'amount': 'null', 'unit': 'null', 'name': 'Sugar - to rim glass'}, {'amount': 'null', 'unit': 'null', 'name': 'Cinnamon - to rim glass'}, {'amount': 'null', 'unit': 'null', 'name': 'Cayenne Pepper - to rim glass'}, {'amount': 'null', 'unit': 'null', 'name': 'Orange'}]","Wet the rim of a chilled cocktail glass, then dip into a mix of cinnamon, cayenne pepper and sugar to coat the rim. Shake rum, hazelnut liqueur and pear nectar with ice, then strain into the glass. Garnish with an orange twist. ",['Orange'],Cocktail Glass,http://www.completecocktails.com/Drinks/AutumnTini.aspx#.ZAYBo3ZByUk
24,Azteca,http://www.completecocktails.com/img/d/l/Azteca.jpg,"[{'amount': '1', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Coffee Liqueur'}, {'amount': 'null', 'unit': 'dash', 'name': 'Blue Curacao'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Creme de Cacao'}, {'amount': 'null', 'unit': 'null', 'name': 'Club Soda'}]","Fill a highball glass with ice. Add ingredients in order, then top with club soda. ",[],Highball Glass,http://www.completecocktails.com/Drinks/Azteca.aspx#.ZAYBqHZByUk
25,Bacardi Cocktail,http://www.completecocktails.com/img/d/l/BacardiCocktail.png,"[{'amount': '2', 'unit': 'oz', 'name': 'White Rum (Bacardi)'}, {'amount': '2/3', 'unit': 'oz', 'name': 'Lime Juice'}, {'amount': '1/4', 'unit': 'oz', 'name': 'Grenadine'}]","Shake Bacardi rum, lime juice and grenadine with ice in a cocktail shaker. Strain into a chilled cocktail glass and serve. ",[],Cocktail Glass,http://www.completecocktails.com/Drinks/BacardiCocktail.aspx#.ZAYBrHZByUk
26,Bacardi Mojito,http://www.completecocktails.com/img/d/l/BacardiMojito.png,"[{'amount': '1-1/2', 'unit': 'oz', 'name': 'White Rum (Bacardi)'}, {'amount': '6', 'unit': 'leaves', 'name': 'Mint'}, {'amount': '2', 'unit': 'slices', 'name': 'Lime'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Simple Syrup'}, {'amount': 'null', 'unit': 'null', 'name': 'Club Soda'}]","Muddle mint and lime in a collins glass, then fill with ice. Add rum and simple syrup and fill with club soda. Garnish with a slice of lime. ",['Lime'],Collins Glass,http://www.completecocktails.com/Drinks/BacardiMojito.aspx#.ZAYBsXZByUk
27,Bacardi Mojito 1,http://www.completecocktails.com/img/d/l/BacardiMojito1.png,"[{'amount': '1-1/2', 'unit': 'oz', 'name': 'White Rum (Bacardi)'}, {'amount': '10', 'unit': 'leaves', 'name': 'Mint'}, {'amount': '1/2', 'unit': 'null', 'name': 'Lime - cut into wedges'}, {'amount': '2', 'unit': 'tbsp', 'name': 'Simple Syrup'}, {'amount': 'null', 'unit': 'null', 'name': 'Club Soda'}]","Muddle mint and lime in a highball glass, then add simple syrup. Fill with ice and add rum. Top with club soda and garnish with a sprig of mint. ","['Lime', ' Mint']",Highball Glass,http://www.completecocktails.com/Drinks/BacardiMojito1.aspx#.ZAYBtXZByUk
28,Bacardi Pina Colada,http://www.completecocktails.com/img/d/l/BacardiPinaColada.png,"[{'amount': '1-1/2', 'unit': 'oz', 'name': 'White Rum (Bacardi)'}, {'amount': '1-1/2', 'unit': 'oz', 'name': 'Coconut Cream'}, {'amount': '1', 'unit': 'oz', 'name': 'Pineapple Juice'}, {'amount': '2', 'unit': 'tbsp', 'name': 'Sugar'}, {'amount': '1', 'unit': 'cup', 'name': 'Ice - crushed'}, {'amount': '1', 'unit': 'wedge', 'name': 'Pineapple'}]","Blend rum, coconut cream, pineapple juice, sugar and ice until smooth. Pour into a chilled glass and garnish with a pineapple wedge. ",['Pineapple'],Parfait Glass,http://www.completecocktails.com/Drinks/BacardiPinaColada.aspx#.ZAYBuXZByUk
29,Backhoe,http://www.completecocktails.com/img/g/l/ShotGlass.png,"[{'amount': '1/2', 'unit': 'oz', 'name': 'White Rum (150-proof)'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Whiskey'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Tequila - Gold'}]","Shake rum, whiskey and tequila with ice in a cocktail shaker. Strain into a shot glass and serve. ",[],Shot Glass,http://www.completecocktails.com/Drinks/Backhoe.aspx#.ZAYBvnZByUk
30,Bahama Mama,http://www.completecocktails.com/img/d/l/BahamaMama.jpg,"[{'amount': '1/2', 'unit': 'oz', 'name': 'Banana Liqueur - creme de bananes'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Coconut Schnapps (DeKuyper Tropical Coconut)'}, {'amount': '1/2', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Grenadine'}, {'amount': '1-1/2', 'unit': 'oz', 'name': 'Orange Juice'}, {'amount': '1-1/2', 'unit': 'oz', 'name': 'Pineapple Juice'}]","Fill a highball glass with ice. Add banana liqueur, coconut schnapps, white rum and grenadine, and stir. Fill with equal parts orange juice and pineapple juice. ",[],Highball Glass,http://www.completecocktails.com/Drinks/BahamaMama.aspx#.ZAYBxHZByUk
31,Bali Hai,http://www.completecocktails.com/img/g/l/CollinsGlass.png,"[{'amount': '2', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1', 'unit': 'oz', 'name': 'Aguardiente'}, {'amount': '2', 'unit': 'oz', 'name': 'Lemon Juice'}, {'amount': '2', 'unit': 'oz', 'name': 'Lime Juice'}, {'amount': '1', 'unit': 'tsp', 'name': 'Orgeat Syrup'}, {'amount': '1', 'unit': 'tsp', 'name': 'Grenadine'}, {'amount': 'null', 'unit': 'null', 'name': 'Champagne - chilled, to top'}]",Shake all ingredients with ice in a cocktail shaker. Pour into a chilled Collins glass. Top with chilled champagne and serve. ,[],Collins Glass,http://www.completecocktails.com/Drinks/BaliHai.aspx#.ZAYByXZByUk
32,Banana Cow,http://www.completecocktails.com/img/g/l/CocktailGlass.png,"[{'amount': '1', 'unit': 'oz', 'name': 'Banana Liqueur (Wenneker)'}, {'amount': '1', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1', 'unit': 'oz', 'name': 'Light Cream'}, {'amount': '2', 'unit': 'dashes', 'name': 'Grenadine'}, {'amount': 'null', 'unit': 'slice', 'name': 'Banana'}, {'amount': 'null', 'unit': 'null', 'name': 'Nutmeg'}]",Shake all ingredients with ice in a cocktail shaker. Strain into a chilled cocktail glass. Garnish with a slice of banana and freshly grated nutmeg. ,"['Banana', ' Nutmeg']",Cocktail Glass,http://www.completecocktails.com/Drinks/BananaCow.aspx#.ZAYBzXZByUk
33,Banana Daiquiri,http://www.completecocktails.com/img/g/l/MargaritaGlass.png,"[{'amount': '1', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Banana Liqueur'}, {'amount': '1', 'unit': 'tsp', 'name': ""Confectioner's Sugar""}, {'amount': '1/2', 'unit': 'null', 'name': 'Banana - small'}, {'amount': '1/2', 'unit': 'oz', 'name': ""Lime Cordial - or Rose's Lime""}]",Add crushed ice to a margarita glass. Blend all ingredients until smooth in a food processor. Pour into the glass and garnish with a banana slice. ,['Banana'],Margarita Glass,http://www.completecocktails.com/Drinks/BananaDaiquiri.aspx#.ZAYB0nZByUk
34,Banana Milk Shake,http://www.completecocktails.com/img/g/l/CocktailGlass.png,"[{'amount': '2', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1', 'unit': 'oz', 'name': 'Banana Liqueur'}, {'amount': '2', 'unit': 'oz', 'name': 'Milk'}, {'amount': 'null', 'unit': 'slice', 'name': 'Banana'}, {'amount': 'null', 'unit': 'pinch', 'name': 'Nutmeg'}]","Shake rum, banana liqueur and milk with ice in a cocktail shaker. Strain into a chilled cocktail glass. Garnish with a banana slice and a pinch of freshly grated nutmeg. ","['Banana', ' Nutmeg']",Cocktail Glass,http://www.completecocktails.com/Drinks/BananaMilkShake.aspx#.ZAYB1nZByUk
35,Banana Rum Frappe,http://www.completecocktails.com/img/g/l/RocksGlass.png,"[{'amount': '1', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Banana Liqueur'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Orange Juice'}, {'amount': '1/4', 'unit': 'null', 'name': 'Banana'}, {'amount': '1/2', 'unit': 'cup', 'name': 'Ice'}]",Add all ingredients to a blender and blend until smooth. Pour into a chilled rocks glass and serve. ,[],Rocks Glass,http://www.completecocktails.com/Drinks/BananaRumFrappe.aspx#.ZAYB2nZByUk
36,Barbary Coast,http://www.completecocktails.com/img/g/l/CocktailGlass.png,"[{'amount': '3/4', 'unit': 'oz', 'name': 'Gin'}, {'amount': '3/4', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '3/4', 'unit': 'oz', 'name': 'Scotch Whiskey'}, {'amount': '1/2', 'unit': 'oz', 'name': 'White Creme de Cacao'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Light Cream'}]",Shake all ingredients well with ice in a cocktail shaker. Strain into a chilled cocktail glass. ,[],Cocktail Glass,http://www.completecocktails.com/Drinks/BarbaryCoast.aspx#.ZAYB5nZByUk
37,Barbary Coast Cocktail,http://www.completecocktails.com/img/g/l/CocktailGlass.png,"[{'amount': '1', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Gin'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Scotch Whiskey'}, {'amount': '1/2', 'unit': 'oz', 'name': 'White Creme de Cacao'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Half and Half'}]",Shake all ingredients well with ice in a cocktail shaker. Strain into a chilled cocktail glass and serve. ,[],Cocktail Glass,http://www.completecocktails.com/Drinks/BarbaryCoastCocktail.aspx#.ZAYB63ZByUk
38,Barbossa,http://www.completecocktails.com/img/g/l/CocktailGlass.png,"[{'amount': '1', 'unit': 'oz', 'name': 'White Rum'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Passionfruit Liqueur'}, {'amount': '2', 'unit': 'tsp', 'name': 'Triple Sec'}, {'amount': '2', 'unit': 'tsp', 'name': 'Grenadine'}, {'amount': '1', 'unit': 'tbsp', 'name': 'Lime Juice'}, {'amount': '2', 'unit': 'oz', 'name': 'Orange Juice'}, {'amount': 'null', 'unit': 'slice', 'name': 'Kumquat'}, {'amount': 'null', 'unit': 'null', 'name': 'Cherry'}, {'amount': 'null', 'unit': 'leaf', 'name': 'Mint'}]","Shake all ingredients well with ice in a cocktail shaker. Strain into a chilled cocktail glass. Garnish with kumquat, cherry and mint, and toast your favorite pirate captain. ","['Kumquat', ' Maraschino Cherry', ' Mint']",Cocktail Glass,http://www.completecocktails.com/Drinks/Barbossa.aspx#.ZAYB8HZByUk
