,name,img,ingredients,recipe,garnish,glass,url
635,Flame of Love,http://www.completecocktails.com/img/d/l/FlameOfLove.jpg,"[{'amount': '2', 'unit': 'oz', 'name': 'Vodka (42 Below)'}, {'amount': '1/4', 'unit': 'oz', 'name': 'Sherry - fino sherry'}, {'amount': 'null', 'unit': 'null', 'name': 'Orange'}]","Add fino sherry to a chilled cocktail glass and swirl to coat the inside, then discard the excess. Stir vodka with ice, then strain into the glass. Garnish with ornately cut orange peel. ",['Orange'],Cocktail Glass,http://www.completecocktails.com/Drinks/FlameofLove.aspx#.ZAYMpnZByUk
636,Flaming Joe,http://www.completecocktails.com/img/g/l/ShotGlass.png,"[{'amount': '1', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Coffee Liqueur (Kahlua)'}]","Add coffee liqueur to a shot glass. Pour the vodka on top. Light the shot on fire, and when the fire burns out drink the shot in one drink. ",[],Shot Glass,http://www.completecocktails.com/Drinks/FlamingJoe.aspx#.ZAYMqnZByUk
637,Florida Sex on the Beach,http://www.completecocktails.com/img/d/l/FloridaSexOnTheBeach.jpg,"[{'amount': '1/4', 'unit': 'shot', 'name': 'Peach Schnapps (DeKuyper Peachtree)'}, {'amount': '1/4', 'unit': 'shot', 'name': 'Vodka'}, {'amount': '1/4', 'unit': 'shot', 'name': 'Cranberry Juice'}, {'amount': '1/4', 'unit': 'shot', 'name': 'Orange Juice'}]",Shake all ingredients with ice in a cocktail shaker. Strain into a chilled shot glass. ,[],Shot Glass,http://www.completecocktails.com/Drinks/FloridaSexontheBeach.aspx#.ZAYMrnZByUk
638,Flying Chocolatecovered Pear Martini,http://www.completecocktails.com/img/d/l/FlyingChocoPearMartini.jpg,"[{'amount': '2', 'unit': 'oz', 'name': ""Vodka (Burnett's)""}, {'amount': '1', 'unit': 'oz', 'name': 'Chocolate Liqueur'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Pear Brandy'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Triple Sec'}, {'amount': 'null', 'unit': 'null', 'name': 'Orange'}]","Shake vodka, chocolate liqueur, pear brandy and triple sec with ice in a cocktail shaker. Strain into a chilled cocktail glass. Garnish with an orange twist. ",['Orange'],Cocktail Glass,http://www.completecocktails.com/Drinks/FlyingChocolatecoveredPearMartini.aspx#.ZAYMs3ZByUk
639,Flying Grasshopper,http://www.completecocktails.com/img/g/l/RocksGlass.png,"[{'amount': '2', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Green Creme de Menthe'}, {'amount': '1/2', 'unit': 'oz', 'name': 'White Creme de Menthe'}, {'amount': '1/2', 'unit': 'cup', 'name': 'Ice - crushed'}]",Blend all ingredients at low speed until slushy. Pour into a chilled rocks glass and serve. ,[],Rocks Glass,http://www.completecocktails.com/Drinks/FlyingGrasshopper.aspx#.ZAYMuXZByUk
640,Foaming Orgasm,http://www.completecocktails.com/img/d/l/FoamingOrgasm.jpg,"[{'amount': '1/2', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Amaretto (Bols)'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Coffee Liqueur (Bols)'}, {'amount': '1/2', 'unit': 'oz', 'name': ""Irish Cream (Bailey's)""}, {'amount': '1', 'unit': 'oz', 'name': 'Milk'}, {'amount': 'null', 'unit': 'null', 'name': 'Bols Amaretto Foam - to top'}, {'amount': '1', 'unit': 'null', 'name': 'Cherry'}]","Shake vodka, amaretto, coffee liqueur, Irish cream and milk with ice in a cocktail shaker. Strain into a rocks glass full of ice and top with Bols Amaretto Foam liqueur. And no good orgasm would be complete without a cherry on top. ",['Cherry'],Rocks Glass,http://www.completecocktails.com/Drinks/FoamingOrgasm.aspx#.ZAYMvXZByUk
641,Foamy After Eight,http://www.completecocktails.com/img/d/l/FoamyAfterEight.jpg,"[{'amount': '1/2', 'unit': 'oz', 'name': 'Vodka (Bols)'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Dark Creme de Cacao'}, {'amount': 'null', 'unit': 'null', 'name': 'Bols Peppermint Green Foam'}]",Shake vodka and dark creme de cacao with ice in a cocktail shaker. Strain into a chilled shot glass. Top with Bols Peppermint Green Foam liqueur. ,[],Shot Glass,http://www.completecocktails.com/Drinks/FoamyAfterEight.aspx#.ZAYMwXZByUk
642,Foamy Blue Lagoon,http://www.completecocktails.com/img/d/l/FoamyBlueLagoon.jpg,"[{'amount': '1', 'unit': 'oz', 'name': 'Vodka (Bols)'}, {'amount': '1-1/2', 'unit': 'oz', 'name': 'Blue Curacao (Bols)'}, {'amount': 'null', 'unit': 'null', 'name': 'Lemon-lime Soda (7-Up or Sprite)'}, {'amount': 'null', 'unit': 'null', 'name': 'Bols Blue Foam'}]","Fill a highball glass with ice. Add vodka and blue curacao, then fill with 7-Up or Sprite and stir gently. Top with Bols Blue Foam liqueur and garnish with a lemon slice. ",['Lemon'],Highball Glass,http://www.completecocktails.com/Drinks/FoamyBlueLagoon.aspx#.ZAYMxXZByUk
643,Foamy Popsicle,http://www.completecocktails.com/img/d/l/FoamyPopsicle.jpg,"[{'amount': '1/2', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Orange Juice'}, {'amount': 'null', 'unit': 'null', 'name': 'Bols Banana Foam'}]",Shake vodka and orange juice with ice in a cocktail shaker. Strain into a chilled shot glass. Top with Bols Banana Foam liqueur. ,[],Shot Glass,http://www.completecocktails.com/Drinks/FoamyPopsicle.aspx#.ZAYMynZByUk
644,Forever Young,http://www.completecocktails.com/img/g/l/CollinsGlass.png,"[{'amount': '2/3', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Curacao'}, {'amount': '2/3', 'unit': 'oz', 'name': 'Absinthe'}, {'amount': '2/3', 'unit': 'oz', 'name': 'Blackberry Brandy'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Lemon Juice'}, {'amount': '2', 'unit': 'oz', 'name': 'Aloe Vera Juice'}, {'amount': 'null', 'unit': 'null', 'name': 'Club Soda - to top'}, {'amount': 'null', 'unit': 'null', 'name': 'Pomegranate'}, {'amount': 'null', 'unit': 'sprig', 'name': 'Mint'}]","Shake all ingredients, except club soda, with ice in a cocktail shaker. Strain into a Collins glass full of crushed ice. Top with club soda and stir gently. Garnish with pomegranate seeds and a sprig of mint. ","['Pomegranate', ' Mint']",Collins Glass,http://www.completecocktails.com/Drinks/ForeverYoung.aspx#.ZAYMznZByUk
645,Fragrance,http://www.completecocktails.com/img/g/l/CollinsGlass.png,"[{'amount': '1-1/2', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Midori Melon Liqueur'}, {'amount': '1', 'unit': 'oz', 'name': 'Lemon Juice'}, {'amount': '1', 'unit': 'oz', 'name': 'Pineapple Juice'}, {'amount': '1', 'unit': 'dash', 'name': 'Simple Syrup'}, {'amount': '1', 'unit': 'null', 'name': 'wedge Lemon'}, {'amount': 'null', 'unit': 'null', 'name': 'Club Soda - to top'}]","Shake vodka, Midori, lemon juice, pineapple juice and simple syrup with ice in a cocktail shaker. Strain into a Collins or highball glass full of crushed ice. Top with a splash of club soda and garnish with a lemon wedge. ",['Lemon'],Collins Glass,http://www.completecocktails.com/Drinks/Fragrance.aspx#.ZAYM0nZByUk
646,Frangelico Hazelnut,http://www.completecocktails.com/img/d/l/FrangelicoHazelnut.jpg,"[{'amount': '1', 'unit': 'oz', 'name': 'Hazelnut Liqueur (Frangelico)'}, {'amount': '1', 'unit': 'oz', 'name': 'Vodka (SKYY)'}, {'amount': 'null', 'unit': 'null', 'name': 'Chocolate - to rim the glass'}]","Wet the rim of a chilled cocktail glass, then dip into chocolate powder or shavings. Shake Frangelico hazelnut liqueur and SKYY vodka with ice in a cocktail shaker. Strain into the glass without disturbing the chocolate rim. ",['Chocolate'],Cocktail Glass,http://www.completecocktails.com/Drinks/FrangelicoHazelnut.aspx#.ZAYM1nZByUk
647,Frangelico Mudslide,http://www.completecocktails.com/img/d/l/FrangelicoMudslide.jpg,"[{'amount': '3/4', 'unit': 'oz', 'name': 'Hazelnut Liqueur (Frangelico)'}, {'amount': '1', 'unit': 'oz', 'name': 'Irish Cream (Carolans)'}, {'amount': '3/4', 'unit': 'oz', 'name': 'Vodka (SKYY)'}, {'amount': '1/2', 'unit': 'oz', 'name': 'Illyquore'}]","Shake Frangelico, Carolans Irish cream, SKYY vodka and Illyquore with ice in a cocktail shaker. Strain into a rocks glass full of ice. Garnish with vanilla beans. ",['Vanilla Bean'],Rocks Glass,http://www.completecocktails.com/Drinks/FrangelicoMudslide.aspx#.ZAYM23ZByUk
648,French Leave,http://www.completecocktails.com/img/g/l/CocktailGlass.png,"[{'amount': '3/4', 'unit': 'oz', 'name': 'Absinthe (Pernod)'}, {'amount': '3/4', 'unit': 'oz', 'name': 'Vodka'}, {'amount': '3/4', 'unit': 'oz', 'name': 'Orange Juice'}]","Shake absinthe, vodka and orange juice with ice in a cocktail shaker. Strain into a cocktail glass and serve. ",[],Cocktail Glass,http://www.completecocktails.com/Drinks/FrenchLeave.aspx#.ZAYM33ZByUk
