,Unnamed: 0,name,img,ingredients,recipe,garnish,flavor,url,glass,content,rating,alcohol
3447,17,Piscola,https://cdn.diffords.com/contrib/stock-images/2023/02/63fe263b97e65.jpg,"[{'name': 'Pisco', 'amount': '60', 'unit': 'ml'}, {'name': 'Angostura Aromatic Bitters (optional)', 'amount': '2', 'unit': 'dash'}, {'name': 'Cola (e.g. Coca Cola or Pepsi Cola)', 'amount': '110', 'unit': 'ml'}]",POUR pisco and bitters into ice-filled glass. TOP with cola and briefly stir.,Lime wedge squeezed and dropped into drink,Gentle/Boozy:6&Sweet/Dry&Sour:6,https://www.diffordsguide.com/cocktails/recipe/1564/piscola,Collins glass,'Brandy' and cola with a hint of Angostura bitters. Try and see why the Chileans enjoy it.,4.0,12.06% alc./vol. (24.12° proof)
3448,18,Hugo Rickey,https://cdn.diffords.com/contrib/stock-images/2023/02/63fe27017ec8d.jpg,"[{'name': 'Rutte Dry Gin', 'amount': '45', 'unit': 'ml'}, {'name': 'Lime juice (freshly squeezed)', 'amount': '15', 'unit': 'ml'}, {'name': 'Giffard Grenadine syrup', 'amount': '7.5', 'unit': 'ml'}, {'name': 'Thomas Henry Soda Water', 'amount': '80', 'unit': 'ml'}]",POUR all ingredients into ice-filled glass. STIR briefly and TOP with soda.,Half fresh pineapple slice wheel,Gentle/Boozy:6&Sweet/Dry&Sour:6,https://www.diffordsguide.com/cocktails/recipe/16958/hugo-rickey,Highball (max 10oz/300ml),Your choice of grenadine will make or break this Ricky.,4.0,11.12% alc./vol. (22.24° proof)
3449,19,La Frangipane,https://cdn.diffords.com/contrib/stock-images/2023/03/63ff2670b82b7.jpg,"[{'name': 'Calvados & straight applejacks', 'amount': '45', 'unit': 'ml'}, {'name': 'Giffard Orgeat Syrup', 'amount': '10', 'unit': 'ml'}, {'name': 'Lemon juice (freshly squeezed)', 'amount': '15', 'unit': 'ml'}, {'name': 'Orange Bitters by Angostura', 'amount': '1', 'unit': 'dash'}]",SHAKE all ingredients with ice and fine strain into chilled glass.,Coin-sized orange zest twist,Gentle/Boozy:6&Sweet/Dry&Sour:7,https://www.diffordsguide.com/cocktails/recipe/16974/la-frangipane,Nick & Nora glass,"Almond is an essential element of any frangipane, here with zesty lemon and apple brandy.",4.5,20.75% alc./vol. (41.5° proof)
3450,20,Avaltini,https://cdn.diffords.com/contrib/stock-images/2023/02/63fe29811f156.jpg,"[{'name': 'Calvados & straight applejacks', 'amount': '45', 'unit': 'ml'}, {'name': 'Apple juice (apple cider) unsweetened & cloudy', 'amount': '25', 'unit': 'ml'}, {'name': 'Lemon juice (freshly squeezed)', 'amount': '20', 'unit': 'ml'}, {'name': ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'amount': '10', 'unit': 'ml'}]",SHAKE all ingredients with ice and fine strain into chilled glass.,Float dehydrated apple slice,Gentle/Boozy:6&Sweet/Dry&Sour:7,https://www.diffordsguide.com/cocktails/recipe/16959/avaltini,Martini glass,A tangy apple sour alternatini served straight-up in that all important tini 'V'-shaped glass.,4.0,14.52% alc./vol. (29.04° proof)
3451,21,Los Pacaminos Margarita,https://cdn.diffords.com/contrib/stock-images/2023/02/63fcaaf526fde.jpg,"[{'name': 'Patrón Reposado tequila', 'amount': '15', 'unit': 'ml'}, {'name': 'Patrón Silver blanco tequila', 'amount': '15', 'unit': 'ml'}, {'name': 'Del Maguey VIDA mezcal', 'amount': '10', 'unit': 'ml'}, {'name': 'De Kuyper Triple Sec (40%)', 'amount': '10', 'unit': 'ml'}, {'name': 'Lime juice (freshly squeezed)', 'amount': '10', 'unit': 'ml'}, {'name': 'Lemon juice (freshly squeezed)', 'amount': '7.5', 'unit': 'ml'}, {'name': 'Nixta liqueur', 'amount': '7.5', 'unit': 'ml'}, {'name': 'Abasolo Mexican Corn Whisky', 'amount': '5', 'unit': 'ml'}, {'name': 'Agave syrup', 'amount': '5', 'unit': 'ml'}, {'name': ""Difford's Margarita Bitters"", 'amount': '5', 'unit': 'drop'}]",SHAKE all ingredients and strain into ice-filled glass.,Dehydrated lime slice wheel & toasted baby corn stirrer,Gentle/Boozy:7&Sweet/Dry&Sour:7,https://www.diffordsguide.com/cocktails/recipe/16721/los-pacaminos-margarita,Old-fashioned glass,"A mellow but characterful Margarita distinguished by a splash of corn whisky, mezcal and corn liqueur, further mellowed by agave syrup and a split between",5.0,23.35% alc./vol. (46.7° proof)
3452,22,Barbara West,https://cdn.diffords.com/contrib/stock-images/2023/02/63e6246e1689e.jpg,"[{'name': 'Rutte Dry Gin', 'amount': '37.5', 'unit': 'ml'}, {'name': 'Amontillado sherry', 'amount': '37.5', 'unit': 'ml'}, {'name': 'Lemon juice (freshly squeezed)', 'amount': '15', 'unit': 'ml'}, {'name': ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'amount': '10', 'unit': 'ml'}, {'name': 'Angostura Aromatic Bitters', 'amount': '1', 'unit': 'dash'}, {'name': 'Saline solution 4:1 (20g sea salt to 80g water)', 'amount': '2', 'unit': 'drop'}]",SHAKE all ingredients with ice and fine strain into chilled glass.,Lemon zest twist,Gentle/Boozy:7&Sweet/Dry&Sour:7,https://www.diffordsguide.com/cocktails/recipe/168/barbara-west,Coupe glass,Your choice of amontillado sherry may dramatically affect the balance of this gin and sherry sour. Choose well and you're in for a treat.,4.5,17.59% alc./vol. (35.18° proof)
3453,23,Pineapple Kingston Negroni,https://cdn.diffords.com/contrib/stock-images/2023/02/63e623bf23471.jpg,"[{'name': 'Caribbean blended rum aged 6-10 years', 'amount': '30', 'unit': 'ml'}, {'name': 'Pineapple rum', 'amount': '30', 'unit': 'ml'}, {'name': 'Martini Rosso sweet vermouth', 'amount': '22.5', 'unit': 'ml'}, {'name': 'Italian red bitter liqueur', 'amount': '22.5', 'unit': 'ml'}]",STIR all ingredients with ice and strain into ice-filled glass (preferably over a large cube or chunk of block ice).,Orange zest twist,Gentle/Boozy:9&Sweet/Dry&Sour:7,https://www.diffordsguide.com/cocktails/recipe/16511/pineapple-kingston-negroni,Old-fashioned glass,A pineapple rum-influenced riff on Joaquín Simó's Kingston Negroni.,4.5,26.63% alc./vol. (53.26° proof)
3454,24,Calvados Daiquiri,https://cdn.diffords.com/contrib/stock-images/2023/02/63e6238e9d179.jpg,"[{'name': 'Calvados & straight applejacks', 'amount': '60', 'unit': 'ml'}, {'name': 'Lime juice (freshly squeezed)', 'amount': '15', 'unit': 'ml'}, {'name': ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'amount': '15', 'unit': 'ml'}, {'name': 'Lemon juice (freshly squeezed)', 'amount': '7.5', 'unit': 'ml'}, {'name': 'Chilled water (omit if using wet ice)', 'amount': '10', 'unit': 'ml'}]",SHAKE all ingredients with ice and strain into ice-filled glass.,De-hydrated lime wheel slice,Gentle/Boozy:7&Sweet/Dry&Sour:7,https://www.diffordsguide.com/cocktails/recipe/16509/calvados-daiquiri,Old-fashioned glass,Some will debate if a cocktail without rum should carry the name Daiquiri but move past that and this cocktail tastes exactly as its name suggests.,4.5,18% alc./vol. (36° proof)
3455,25,Newport,https://cdn.diffords.com/contrib/stock-images/2023/02/63e622c9d2a27.jpg,"[{'name': 'Rémy Martin 1738 Cognac', 'amount': '60', 'unit': 'ml'}, {'name': 'Crème de noyau liqueur', 'amount': '15', 'unit': 'ml'}, {'name': 'Angostura Aromatic Bitters', 'amount': '1', 'unit': 'dash'}]",STIR all ingredients with ice and strain into ice-filled glass (preferably over a large cube or chunk of block ice).,Lemon zest twist,Gentle/Boozy:9&Sweet/Dry&Sour:6,https://www.diffordsguide.com/cocktails/recipe/16597/newport,Old-fashioned glass,Crème de Noyaux's fruity almond-like notes combine with brandy in this late-night sipper.,4.0,32.23% alc./vol. (64.46° proof)
3456,26,Bosun Bird,https://cdn.diffords.com/contrib/stock-images/2023/02/63e621c16e0d2.jpg,"[{'name': 'Jamaican aged blended rum', 'amount': '30', 'unit': 'ml'}, {'name': 'Green Chartreuse liqueur', 'amount': '15', 'unit': 'ml'}, {'name': 'De Kuyper Triple Sec (40%)', 'amount': '15', 'unit': 'ml'}, {'name': 'Luxardo Maraschino liqueur', 'amount': '15', 'unit': 'ml'}, {'name': 'Lime juice (freshly squeezed)', 'amount': '22.5', 'unit': 'ml'}]",SHAKE all ingredients with ice and fine strain into chilled glass.,Skewered Luxardo maraschino cherry,Gentle/Boozy:9&Sweet/Dry&Sour:7,https://www.diffordsguide.com/cocktails/recipe/16594/bosun-bird,Coupe glass,Select the right rum (see Jason's recommendations below) and you have what he aptly describes as a Last Word Jamaica daiquiri.,4.5,25.68% alc./vol. (51.36° proof)
